,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,2.0%,61936,3097661,1.4%,0.6%
Sex,Female,3.1%,47334,1523851,2.2%,0.9%
Sex,Male,0.9%,14602,1573810,0.7%,0.2%
Ethnicity,White - British,2.0%,31304,1531530,1.5%,0.6%
Ethnicity,White - Irish,2.4%,378,16016,1.7%,0.7%
Ethnicity,White - Any other White background,1.1%,2163,191289,0.8%,0.3%
Ethnicity,Mixed - White and Black Caribbean,1.2%,91,7644,0.7%,0.5%
Ethnicity,Mixed - White and Black African,1.6%,133,8225,1.1%,0.5%
Ethnicity,Mixed - White and Asian,3.0%,182,6076,2.2%,0.8%
Ethnicity,Mixed - Any other mixed background,2.0%,245,12089,1.4%,0.6%
Ethnicity,Asian or Asian British - Indian,4.0%,2408,60235,3.1%,0.9%
Ethnicity,Asian or Asian British - Pakistani,1.2%,469,40523,0.9%,0.2%
Ethnicity,Asian or Asian British - Bangladeshi,0.9%,112,12775,0.5%,0.3%
Ethnicity,Asian or Asian British - Any other Asian background,4.3%,1897,44338,3.2%,1.1%
Ethnicity,Black or Black British - Caribbean,0.8%,210,25158,0.6%,0.3%
Ethnicity,Black or Black British - African,1.5%,861,57414,1.0%,0.5%
Ethnicity,Black or Black British - Any other Black background,1.3%,168,13076,0.9%,0.4%
Ethnicity,Other ethnic groups - Chinese,1.4%,217,15099,1.1%,0.4%
Ethnicity,Other ethnic groups - Any other ethnic group,1.6%,553,34461,1.2%,0.4%
Ethnicity,Patients with any other ethnicity code,2.0%,8218,402626,1.5%,0.6%
Ethnicity,Ethnicity not given - patient refused,,0,0,,
Ethnicity,Ethnicity not stated,1.9%,469,24619,1.4%,0.5%
Ethnicity,Ethnicity not recorded,2.0%,11760,594363,1.4%,0.5%
Ethnicity (broad categories),White,1.9%,33852,1738849,1.4%,0.6%
Ethnicity (broad categories),Mixed,1.9%,658,34055,1.4%,0.6%
Ethnicity (broad categories),South Asian,3.1%,4914,157892,2.4%,0.7%
Ethnicity (broad categories),Black,1.3%,1253,95662,0.9%,0.4%
Ethnicity (broad categories),Other,1.6%,770,49567,1.2%,0.4%
Ethnicity (broad categories),Unknown,2.0%,20461,1021615,1.5%,0.5%
Index of Multiple Deprivation,1 (most deprived),1.6%,8309,532602,1.1%,0.5%
Index of Multiple Deprivation,2,1.8%,10598,590240,1.3%,0.5%
Index of Multiple Deprivation,3,2.0%,12600,627942,1.4%,0.6%
Index of Multiple Deprivation,4,2.2%,14084,644189,1.6%,0.6%
Index of Multiple Deprivation,5 (least deprived),2.3%,15799,676984,1.7%,0.6%
Index of Multiple Deprivation,Unknown,2.0%,518,25676,1.4%,0.6%
Other Groups,Patients with Morbid Obesity,2.4%,2261,93940,1.7%,0.7%
Other Groups,Patients who are pregnant,2.6%,14,539,0.0%,2.6%
