,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,1.9%,36911,1970227,1.2%,0.7%
Sex,Female,1.9%,20265,1049650,1.3%,0.7%
Sex,Male,1.8%,16646,920577,1.1%,0.7%
Ethnicity,White - British,1.9%,22792,1208536,1.2%,0.7%
Ethnicity,White - Irish,3.3%,546,16702,2.4%,0.8%
Ethnicity,White - Any other White background,2.6%,1141,43169,1.8%,0.9%
Ethnicity,Mixed - White and Black Caribbean,1.3%,28,2156,0.6%,0.6%
Ethnicity,Mixed - White and Black African,0.6%,7,1134,0.0%,0.6%
Ethnicity,Mixed - White and Asian,2.7%,35,1309,1.6%,1.1%
Ethnicity,Mixed - Any other mixed background,2.2%,49,2268,1.5%,0.6%
Ethnicity,Asian or Asian British - Indian,4.3%,1099,25550,3.3%,1.0%
Ethnicity,Asian or Asian British - Pakistani,2.8%,294,10591,2.2%,0.6%
Ethnicity,Asian or Asian British - Bangladeshi,2.6%,77,2919,1.9%,0.7%
Ethnicity,Asian or Asian British - Any other Asian background,3.2%,371,11431,2.3%,1.0%
Ethnicity,Black or Black British - Caribbean,1.7%,189,11431,1.2%,0.5%
Ethnicity,Black or Black British - African,1.6%,126,8050,1.1%,0.4%
Ethnicity,Black or Black British - Any other Black background,1.6%,28,1757,1.2%,0.4%
Ethnicity,Other ethnic groups - Chinese,2.4%,77,3178,1.8%,0.7%
Ethnicity,Other ethnic groups - Any other ethnic group,3.0%,189,6384,2.1%,0.9%
Ethnicity,Patients with any other ethnicity code,1.8%,4844,276745,1.2%,0.6%
Ethnicity,Ethnicity not stated,1.7%,196,11725,1.1%,0.5%
Ethnicity,Ethnicity not recorded,1.5%,4739,325080,1.0%,0.5%
Ethnicity (broad categories),White,1.9%,24486,1268428,1.2%,0.7%
Ethnicity (broad categories),Mixed,2.0%,140,6888,1.2%,0.8%
Ethnicity (broad categories),South Asian,3.7%,1855,50505,2.8%,0.9%
Ethnicity (broad categories),Black,1.6%,350,21252,1.2%,0.5%
Ethnicity (broad categories),Other,2.8%,266,9562,2.0%,0.8%
Ethnicity (broad categories),Unknown,1.6%,9786,613564,1.1%,0.5%
Index of Multiple Deprivation,1 (most deprived),2.5%,6573,259721,1.7%,0.8%
Index of Multiple Deprivation,2,1.9%,6461,332647,1.3%,0.6%
Index of Multiple Deprivation,3,1.8%,7630,419461,1.2%,0.7%
Index of Multiple Deprivation,4,1.8%,8169,459676,1.1%,0.7%
Index of Multiple Deprivation,5 (least deprived),1.6%,7791,483399,1.0%,0.6%
Index of Multiple Deprivation,Unknown,1.7%,266,15288,1.2%,0.5%
Clinical Risk Groups,Patients in Any Clinical Risk Group,2.0%,22988,1159865,1.3%,0.7%
Clinical Risk Groups,Patients with Immunosuppression,2.4%,2023,85722,1.5%,0.8%
Clinical Risk Groups,Patients with CKD,2.0%,6356,322896,1.3%,0.7%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,2.1%,4697,224133,1.3%,0.8%
Clinical Risk Groups,Patients with Diabetes,2.0%,7469,367192,1.3%,0.7%
Clinical Risk Groups,Patients with Chronic Liver disease,2.1%,1099,52164,1.3%,0.8%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),2.0%,4158,212800,1.2%,0.7%
Clinical Risk Groups,Patients with Chronic heart disease,2.0%,11907,591045,1.3%,0.7%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,2.1%,364,17143,1.3%,0.8%
Clinical Risk Groups,Patients with Wider Learning Disability,1.2%,28,2331,0.6%,0.6%
Clinical Risk Groups,Patients with Severe Mental Health,1.7%,273,15792,1.1%,0.7%
Other Groups,Patients who are shielding (High Risk from COVID-19),2.5%,7539,307671,1.5%,0.9%
Other Groups,Patients with Morbid Obesity,1.7%,819,47768,1.1%,0.6%
Other Groups,Patients who are pregnant,3.1%,7,224,0.0%,3.1%
