,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,87.7%,4113613,4690203,86.7%,1.0%
Sex,Female,87.2%,2200618,2523549,86.1%,1.1%
Sex,Male,88.3%,1912995,2166654,87.4%,0.9%
Ethnicity,White - British,93.0%,2382912,2561699,92.4%,0.6%
Ethnicity,White - Irish,88.5%,24878,28098,87.9%,0.6%
Ethnicity,White - Any other White background,69.1%,100905,146111,67.7%,1.4%
Ethnicity,Mixed - White and Black Caribbean,60.2%,7126,11830,58.5%,1.8%
Ethnicity,Mixed - White and Black African,63.6%,7742,12180,60.8%,2.8%
Ethnicity,Mixed - White and Asian,76.6%,5852,7637,74.3%,2.3%
Ethnicity,Mixed - Any other mixed background,68.7%,10633,15470,66.8%,1.9%
Ethnicity,Asian or Asian British - Indian,82.5%,100632,121926,80.3%,2.2%
Ethnicity,Asian or Asian British - Pakistani,64.3%,62902,97874,60.3%,3.9%
Ethnicity,Asian or Asian British - Bangladeshi,77.2%,38318,49658,72.4%,4.8%
Ethnicity,Asian or Asian British - Any other Asian background,77.4%,49924,64484,75.0%,2.4%
Ethnicity,Black or Black British - Caribbean,55.6%,23835,42903,53.5%,2.0%
Ethnicity,Black or Black British - African,59.5%,61859,103908,56.5%,3.0%
Ethnicity,Black or Black British - Any other Black background,55.3%,10423,18858,52.8%,2.4%
Ethnicity,Other ethnic groups - Chinese,74.7%,10430,13958,73.1%,1.6%
Ethnicity,Other ethnic groups - Any other ethnic group,65.9%,25823,39158,63.7%,2.3%
Ethnicity,Patients with any other ethnicity code,89.3%,555485,621894,88.4%,0.9%
Ethnicity,Ethnicity not stated,83.0%,23667,28518,82.0%,1.0%
Ethnicity,Ethnicity not recorded,86.7%,610176,703941,85.8%,0.9%
Ethnicity (broad categories),White,91.7%,2508709,2735929,91.0%,0.7%
Ethnicity (broad categories),Mixed,66.6%,31374,47131,64.4%,2.1%
Ethnicity (broad categories),South Asian,75.4%,251797,333956,72.3%,3.1%
Ethnicity (broad categories),Black,58.0%,96124,165683,55.3%,2.7%
Ethnicity (broad categories),Other,68.3%,36260,53116,66.2%,2.1%
Ethnicity (broad categories),Unknown,87.8%,1189342,1354360,86.9%,0.9%
Index of Multiple Deprivation,1 (most deprived),79.9%,791021,989849,78.0%,1.9%
Index of Multiple Deprivation,2,84.3%,797559,945966,83.0%,1.3%
Index of Multiple Deprivation,3,89.5%,835058,933114,88.7%,0.8%
Index of Multiple Deprivation,4,92.1%,830942,902132,91.5%,0.6%
Index of Multiple Deprivation,5 (least deprived),93.8%,821905,876498,93.4%,0.4%
Index of Multiple Deprivation,Unknown,87.1%,37107,42623,85.9%,1.1%
Clinical Risk Groups,Patients in Any Clinical Risk Group,86.6%,2606212,3009034,85.3%,1.3%
Clinical Risk Groups,Patients with Immunosuppression,87.9%,381388,434063,87.0%,0.9%
Clinical Risk Groups,Patients with CKD,92.5%,380121,411054,91.9%,0.6%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,91.0%,535577,588854,90.3%,0.7%
Clinical Risk Groups,Patients with Diabetes,82.5%,1127686,1367464,80.2%,2.2%
Clinical Risk Groups,Patients with Chronic Liver disease,87.6%,185633,211890,86.2%,1.4%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),89.0%,367591,412881,88.1%,0.9%
Clinical Risk Groups,Patients with Chronic heart disease,92.1%,862736,936236,91.5%,0.7%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,82.0%,67970,82887,81.3%,0.7%
Clinical Risk Groups,Patients with Wider Learning Disability,79.7%,44828,56259,77.6%,2.1%
Clinical Risk Groups,Patients with Severe Mental Health,77.9%,60893,78183,75.6%,2.2%
Other Groups,Patients who are shielding (High Risk from COVID-19),81.6%,1863526,2282994,79.8%,1.9%
Other Groups,Patients with Morbid Obesity,85.9%,286930,333921,84.0%,2.0%
Other Groups,Patients who are pregnant,32.8%,9373,28588,30.0%,2.8%
