,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,2.3%,70693,3097710,1.6%,0.6%
Sex,Female,3.6%,54187,1523914,2.5%,1.0%
Sex,Male,1.0%,16506,1573796,0.8%,0.3%
Ethnicity,White - British,2.4%,36288,1530683,1.7%,0.7%
Ethnicity,White - Irish,2.8%,448,16016,1.9%,0.9%
Ethnicity,White - Any other White background,1.3%,2478,191170,0.9%,0.4%
Ethnicity,Mixed - White and Black Caribbean,1.5%,112,7637,0.9%,0.5%
Ethnicity,Mixed - White and Black African,1.8%,147,8211,1.2%,0.6%
Ethnicity,Mixed - White and Asian,3.5%,210,6062,2.4%,1.0%
Ethnicity,Mixed - Any other mixed background,2.4%,287,12089,1.7%,0.7%
Ethnicity,Asian or Asian British - Indian,4.4%,2653,60228,3.4%,1.0%
Ethnicity,Asian or Asian British - Pakistani,1.3%,539,40495,1.0%,0.3%
Ethnicity,Asian or Asian British - Bangladeshi,1.0%,133,12768,0.7%,0.3%
Ethnicity,Asian or Asian British - Any other Asian background,4.9%,2170,44282,3.6%,1.3%
Ethnicity,Black or Black British - Caribbean,1.0%,252,25137,0.7%,0.3%
Ethnicity,Black or Black British - African,1.8%,1029,57351,1.1%,0.7%
Ethnicity,Black or Black British - Any other Black background,1.5%,196,13062,1.0%,0.5%
Ethnicity,Other ethnic groups - Chinese,1.6%,238,15099,1.2%,0.4%
Ethnicity,Other ethnic groups - Any other ethnic group,1.8%,630,34447,1.3%,0.5%
Ethnicity,Patients with any other ethnicity code,2.3%,9149,402248,1.7%,0.6%
Ethnicity,Ethnicity not given - patient refused,,0,0,,
Ethnicity,Ethnicity not stated,2.1%,518,24542,1.6%,0.5%
Ethnicity,Ethnicity not recorded,2.2%,13132,596092,1.6%,0.6%
Ethnicity (broad categories),White,2.3%,39221,1737883,1.6%,0.7%
Ethnicity (broad categories),Mixed,2.2%,763,34013,1.6%,0.7%
Ethnicity (broad categories),South Asian,3.5%,5516,157794,2.6%,0.9%
Ethnicity (broad categories),Black,1.6%,1484,95564,1.0%,0.5%
Ethnicity (broad categories),Other,1.8%,868,49560,1.3%,0.5%
Ethnicity (broad categories),Unknown,2.2%,22806,1022882,1.6%,0.6%
Index of Multiple Deprivation,1 (most deprived),1.8%,9758,532714,1.3%,0.6%
Index of Multiple Deprivation,2,2.1%,12201,590282,1.4%,0.6%
Index of Multiple Deprivation,3,2.3%,14399,627935,1.6%,0.7%
Index of Multiple Deprivation,4,2.5%,16016,644189,1.8%,0.7%
Index of Multiple Deprivation,5 (least deprived),2.6%,17766,676893,1.9%,0.7%
Index of Multiple Deprivation,Unknown,2.0%,518,25676,1.6%,0.4%
Other Groups,Patients with Morbid Obesity,2.7%,2576,93856,1.9%,0.8%
Other Groups,Patients who are pregnant,2.6%,14,532,0.0%,2.6%
