,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,24.7%,631169,2558794,21.4%,3.2%
Sex,Female,23.3%,345072,1481886,20.1%,3.2%
Sex,Male,26.6%,286097,1076908,23.3%,3.3%
Ethnicity,White - British,26.2%,376488,1438598,22.6%,3.5%
Ethnicity,White - Irish,26.3%,5495,20895,22.5%,3.8%
Ethnicity,White - Any other White background,22.9%,12586,54922,19.7%,3.2%
Ethnicity,Mixed - White and Black Caribbean,12.5%,462,3703,10.8%,1.7%
Ethnicity,Mixed - White and Black African,12.6%,147,1169,10.8%,1.8%
Ethnicity,Mixed - White and Asian,20.7%,273,1316,18.1%,2.7%
Ethnicity,Mixed - Any other mixed background,20.3%,476,2345,17.6%,2.7%
Ethnicity,Asian or Asian British - Indian,24.7%,8092,32725,21.7%,3.0%
Ethnicity,Asian or Asian British - Pakistani,13.1%,2198,16716,11.5%,1.6%
Ethnicity,Asian or Asian British - Bangladeshi,15.5%,756,4879,13.5%,2.0%
Ethnicity,Asian or Asian British - Any other Asian background,21.0%,2429,11585,18.5%,2.5%
Ethnicity,Black or Black British - Caribbean,10.5%,2464,23359,9.1%,1.5%
Ethnicity,Black or Black British - African,8.8%,763,8624,7.5%,1.3%
Ethnicity,Black or Black British - Any other Black background,12.0%,301,2499,10.1%,2.0%
Ethnicity,Other ethnic groups - Chinese,19.3%,791,4095,16.8%,2.6%
Ethnicity,Other ethnic groups - Any other ethnic group,17.4%,1190,6832,14.9%,2.6%
Ethnicity,Patients with any other ethnicity code,24.6%,97160,395017,21.7%,2.9%
Ethnicity,Ethnicity not stated,22.7%,3745,16492,21.1%,1.7%
Ethnicity,Ethnicity not recorded,22.5%,115262,512925,19.5%,2.9%
Ethnicity (broad categories),White,26.1%,394583,1514422,22.5%,3.5%
Ethnicity (broad categories),Mixed,16.1%,1379,8554,13.9%,2.2%
Ethnicity (broad categories),South Asian,20.5%,13496,65919,18.0%,2.5%
Ethnicity (broad categories),Black,10.2%,3528,34482,8.8%,1.4%
Ethnicity (broad categories),Other,18.2%,1988,10934,15.6%,2.6%
Ethnicity (broad categories),Unknown,23.4%,216167,924455,20.5%,2.9%
Index of Multiple Deprivation,1 (most deprived),23.4%,79933,340886,20.5%,3.0%
Index of Multiple Deprivation,2,23.2%,100576,433615,20.1%,3.1%
Index of Multiple Deprivation,3,24.4%,132083,541702,21.2%,3.2%
Index of Multiple Deprivation,4,25.4%,149569,588532,22.1%,3.3%
Index of Multiple Deprivation,5 (least deprived),25.8%,163807,634333,22.4%,3.4%
Index of Multiple Deprivation,Unknown,26.3%,5187,19691,21.9%,4.4%
Clinical Risk Groups,Patients in Any Clinical Risk Group,25.2%,464716,1845228,21.9%,3.3%
Clinical Risk Groups,Patients with Immunosuppression,27.3%,30268,110964,23.9%,3.3%
Clinical Risk Groups,Patients with CKD,25.0%,195727,783069,21.7%,3.3%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,26.8%,82320,306740,23.5%,3.3%
Clinical Risk Groups,Patients with Diabetes,24.7%,128338,519372,21.6%,3.1%
Clinical Risk Groups,Patients with Chronic Liver disease,25.5%,11935,46753,22.2%,3.3%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),23.6%,101234,428449,20.4%,3.2%
Clinical Risk Groups,Patients with Chronic heart disease,25.5%,276115,1083929,22.2%,3.3%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,26.3%,5411,20601,22.8%,3.4%
Clinical Risk Groups,Patients with Wider Learning Disability,11.8%,154,1302,9.7%,2.2%
Clinical Risk Groups,Patients with Severe Mental Health,17.4%,3024,17395,14.8%,2.6%
Other Groups,Patients who are shielding (High Risk from COVID-19),24.4%,183715,753354,21.3%,3.1%
Other Groups,Patients with Morbid Obesity,20.1%,7042,34972,17.5%,2.7%
Other Groups,Patients who are pregnant,17.8%,56,315,15.6%,2.2%
