,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,42.5%,1771714,4168045,36.6%,5.9%
Sex,Female,41.7%,811916,1948310,36.0%,5.7%
Sex,Male,43.2%,959798,2219735,37.1%,6.1%
Ethnicity,White - British,45.8%,1016827,2220869,39.4%,6.4%
Ethnicity,White - Irish,41.4%,8435,20356,36.2%,5.2%
Ethnicity,White - Any other White background,32.5%,68684,211624,27.5%,4.9%
Ethnicity,Mixed - White and Black Caribbean,28.7%,3983,13895,24.2%,4.4%
Ethnicity,Mixed - White and Black African,31.1%,3269,10514,26.2%,4.9%
Ethnicity,Mixed - White and Asian,38.5%,3395,8827,32.6%,5.9%
Ethnicity,Mixed - Any other mixed background,33.1%,5670,17143,28.0%,5.1%
Ethnicity,Asian or Asian British - Indian,42.7%,46144,108136,37.5%,5.2%
Ethnicity,Asian or Asian British - Pakistani,34.3%,34489,100639,29.0%,5.3%
Ethnicity,Asian or Asian British - Bangladeshi,41.6%,13531,32557,33.9%,7.7%
Ethnicity,Asian or Asian British - Any other Asian background,38.6%,24080,62447,33.5%,5.0%
Ethnicity,Black or Black British - Caribbean,27.7%,9492,34244,24.0%,3.7%
Ethnicity,Black or Black British - African,28.3%,17311,61075,24.0%,4.4%
Ethnicity,Black or Black British - Any other Black background,27.0%,4949,18298,23.2%,3.9%
Ethnicity,Other ethnic groups - Chinese,38.8%,5572,14343,31.9%,6.9%
Ethnicity,Other ethnic groups - Any other ethnic group,32.7%,12313,37639,27.9%,4.9%
Ethnicity,Patients with any other ethnicity code,41.9%,224525,536354,36.5%,5.4%
Ethnicity,Ethnicity not given - patient refused,,0,0,,
Ethnicity,Ethnicity not stated,40.8%,11347,27804,34.1%,6.7%
Ethnicity,Ethnicity not recorded,40.8%,257593,631162,35.2%,5.6%
Ethnicity (broad categories),White,44.6%,1093960,2452863,38.3%,6.3%
Ethnicity (broad categories),Mixed,32.4%,16331,50407,27.4%,5.0%
Ethnicity (broad categories),South Asian,38.9%,118272,303793,33.5%,5.4%
Ethnicity (broad categories),Black,27.9%,31759,113631,23.8%,4.1%
Ethnicity (broad categories),Other,34.4%,17899,51989,29.0%,5.4%
Ethnicity (broad categories),Unknown,41.3%,493479,1195334,35.8%,5.5%
Index of Multiple Deprivation,1 (most deprived),38.8%,373751,964019,32.8%,6.0%
Index of Multiple Deprivation,2,41.2%,364154,882840,35.2%,6.0%
Index of Multiple Deprivation,3,43.4%,356202,820862,37.7%,5.7%
Index of Multiple Deprivation,4,44.8%,338338,755496,39.0%,5.8%
Index of Multiple Deprivation,5 (least deprived),46.0%,324240,705593,39.8%,6.2%
Index of Multiple Deprivation,Unknown,38.3%,15015,39200,34.6%,3.7%
Clinical Risk Groups,Patients in Any Clinical Risk Group,42.5%,1771721,4168045,36.6%,5.9%
Clinical Risk Groups,Patients with Immunosuppression,43.2%,101850,235956,37.9%,5.3%
Clinical Risk Groups,Patients with CKD,45.0%,96068,213542,40.5%,4.5%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,41.8%,156520,374591,35.8%,5.9%
Clinical Risk Groups,Patients with Diabetes,44.4%,446593,1005697,40.2%,4.2%
Clinical Risk Groups,Patients with Chronic Liver disease,40.3%,198415,492142,33.4%,6.9%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),43.0%,356391,829549,36.7%,6.3%
Clinical Risk Groups,Patients with Chronic heart disease,44.4%,486752,1095934,38.1%,6.3%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,42.9%,58849,137025,37.5%,5.5%
Clinical Risk Groups,Patients with Wider Learning Disability,47.2%,76027,161161,42.5%,4.7%
Clinical Risk Groups,Patients with Severe Mental Health,37.2%,121856,327425,31.2%,6.0%
Other Groups,Patients with Morbid Obesity,46.8%,103950,222194,41.6%,5.2%
Other Groups,Patients who are pregnant,11.7%,3696,31633,9.1%,2.5%
