,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,40.2%,1676745,4165987,31.8%,8.4%
Sex,Female,39.5%,768250,1947260,31.4%,8.0%
Sex,Male,40.9%,908495,2218727,32.2%,8.8%
Ethnicity,White - British,43.3%,960484,2218874,34.2%,9.1%
Ethnicity,White - Irish,39.3%,8001,20356,32.8%,6.5%
Ethnicity,White - Any other White background,30.4%,64309,211309,24.0%,6.4%
Ethnicity,Mixed - White and Black Caribbean,26.9%,3738,13881,21.1%,5.8%
Ethnicity,Mixed - White and Black African,29.2%,3066,10500,23.1%,6.1%
Ethnicity,Mixed - White and Asian,35.7%,3143,8806,27.8%,7.9%
Ethnicity,Mixed - Any other mixed background,31.0%,5313,17122,24.6%,6.5%
Ethnicity,Asian or Asian British - Indian,40.6%,43813,107912,33.8%,6.8%
Ethnicity,Asian or Asian British - Pakistani,32.1%,32263,100506,25.2%,6.9%
Ethnicity,Asian or Asian British - Bangladeshi,38.3%,12446,32494,30.0%,8.3%
Ethnicity,Asian or Asian British - Any other Asian background,36.5%,22736,62321,30.1%,6.4%
Ethnicity,Black or Black British - Caribbean,26.0%,8883,34167,21.5%,4.5%
Ethnicity,Black or Black British - African,26.3%,15995,60851,21.2%,5.1%
Ethnicity,Black or Black British - Any other Black background,25.2%,4606,18270,20.4%,4.8%
Ethnicity,Other ethnic groups - Chinese,36.0%,5159,14315,27.3%,8.8%
Ethnicity,Other ethnic groups - Any other ethnic group,30.9%,11585,37485,24.5%,6.4%
Ethnicity,Patients with any other ethnicity code,40.0%,214788,536438,31.7%,8.3%
Ethnicity,Ethnicity not given - patient refused,,0,0,,
Ethnicity,Ethnicity not stated,38.4%,10682,27797,29.4%,9.0%
Ethnicity,Ethnicity not recorded,38.8%,245644,632478,30.4%,8.4%
Ethnicity (broad categories),White,42.1%,1032808,2450553,33.3%,8.9%
Ethnicity (broad categories),Mixed,30.3%,15267,50337,23.9%,6.4%
Ethnicity (broad categories),South Asian,36.7%,111279,303254,29.8%,6.9%
Ethnicity (broad categories),Black,26.0%,29498,113302,21.2%,4.9%
Ethnicity (broad categories),Other,32.3%,16751,51800,25.3%,7.1%
Ethnicity (broad categories),Unknown,39.4%,471121,1196727,31.0%,8.4%
Index of Multiple Deprivation,1 (most deprived),36.5%,351407,963774,28.1%,8.4%
Index of Multiple Deprivation,2,39.0%,344029,882462,30.5%,8.4%
Index of Multiple Deprivation,3,41.2%,337876,820379,33.0%,8.1%
Index of Multiple Deprivation,4,42.6%,321559,755132,34.2%,8.4%
Index of Multiple Deprivation,5 (least deprived),43.5%,306845,705012,34.8%,8.7%
Index of Multiple Deprivation,Unknown,38.3%,15015,39200,29.7%,8.6%
Clinical Risk Groups,Patients in Any Clinical Risk Group,40.2%,1676759,4165987,31.8%,8.4%
Clinical Risk Groups,Patients with Immunosuppression,41.2%,96978,235382,33.3%,7.9%
Clinical Risk Groups,Patients with CKD,43.3%,92316,213234,36.4%,6.9%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,39.5%,147728,374311,31.2%,8.3%
Clinical Risk Groups,Patients with Diabetes,42.9%,430388,1004045,36.3%,6.6%
Clinical Risk Groups,Patients with Chronic Liver disease,37.8%,186088,491729,28.6%,9.2%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),40.5%,336154,829801,31.5%,9.0%
Clinical Risk Groups,Patients with Chronic heart disease,42.0%,460068,1095682,33.3%,8.7%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,40.9%,56049,137039,32.0%,8.9%
Clinical Risk Groups,Patients with Wider Learning Disability,45.5%,73178,160930,38.2%,7.3%
Clinical Risk Groups,Patients with Severe Mental Health,34.9%,114163,327523,26.5%,8.3%
Other Groups,Patients with Morbid Obesity,44.8%,99344,221683,36.6%,8.2%
Other Groups,Patients who are pregnant,10.6%,3304,31262,7.4%,3.2%
