,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,88.0%,4123679,4688159,87.3%,0.7%
Sex,Female,87.5%,2206806,2522296,86.7%,0.8%
Sex,Male,88.5%,1916873,2165863,87.9%,0.6%
Ethnicity,White - British,93.2%,2387196,2560943,92.8%,0.4%
Ethnicity,White - Irish,88.8%,24948,28105,88.3%,0.5%
Ethnicity,White - Any other White background,69.4%,101395,146013,68.5%,0.9%
Ethnicity,Mixed - White and Black Caribbean,61.1%,7217,11816,59.4%,1.7%
Ethnicity,Mixed - White and Black African,64.6%,7847,12152,62.6%,2.0%
Ethnicity,Mixed - White and Asian,77.2%,5894,7637,75.5%,1.6%
Ethnicity,Mixed - Any other mixed background,69.5%,10731,15435,68.1%,1.5%
Ethnicity,Asian or Asian British - Indian,83.1%,101304,121863,81.7%,1.5%
Ethnicity,Asian or Asian British - Pakistani,65.5%,64043,97825,62.7%,2.8%
Ethnicity,Asian or Asian British - Bangladeshi,78.4%,38920,49637,75.2%,3.2%
Ethnicity,Asian or Asian British - Any other Asian background,78.2%,50393,64449,76.5%,1.7%
Ethnicity,Black or Black British - Caribbean,56.5%,24227,42861,54.7%,1.9%
Ethnicity,Black or Black British - African,60.8%,63126,103824,58.3%,2.5%
Ethnicity,Black or Black British - Any other Black background,56.3%,10626,18858,54.2%,2.1%
Ethnicity,Other ethnic groups - Chinese,75.2%,10486,13944,74.1%,1.1%
Ethnicity,Other ethnic groups - Any other ethnic group,66.6%,26054,39130,65.1%,1.5%
Ethnicity,Patients with any other ethnicity code,89.5%,555807,620886,88.9%,0.6%
Ethnicity,Ethnicity not stated,83.3%,23723,28469,82.6%,0.7%
Ethnicity,Ethnicity not recorded,86.6%,609637,704235,86.0%,0.6%
Ethnicity (broad categories),White,91.9%,2513553,2735089,91.4%,0.5%
Ethnicity (broad categories),Mixed,67.4%,31717,47054,65.7%,1.7%
Ethnicity (broad categories),South Asian,76.3%,254674,333781,74.1%,2.2%
Ethnicity (broad categories),Black,59.2%,97986,165550,56.9%,2.3%
Ethnicity (broad categories),Other,68.9%,36547,53074,67.5%,1.4%
Ethnicity (broad categories),Unknown,87.9%,1189181,1353590,87.3%,0.6%
Index of Multiple Deprivation,1 (most deprived),80.4%,795095,989009,79.1%,1.3%
Index of Multiple Deprivation,2,84.6%,800296,945434,83.7%,0.9%
Index of Multiple Deprivation,3,89.7%,836654,932799,89.2%,0.5%
Index of Multiple Deprivation,4,92.2%,831768,901880,91.8%,0.4%
Index of Multiple Deprivation,5 (least deprived),93.9%,822731,876400,93.6%,0.3%
Index of Multiple Deprivation,Unknown,87.1%,37107,42623,86.6%,0.4%
Clinical Risk Groups,Patients in Any Clinical Risk Group,87.0%,2616397,3007214,86.1%,0.9%
Clinical Risk Groups,Patients with Immunosuppression,88.1%,382634,434154,87.5%,0.6%
Clinical Risk Groups,Patients with CKD,92.7%,381472,411642,92.2%,0.4%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,91.2%,536942,589015,90.7%,0.5%
Clinical Risk Groups,Patients with Diabetes,83.1%,1135337,1366274,81.6%,1.5%
Clinical Risk Groups,Patients with Chronic Liver disease,88.0%,186515,211974,87.1%,0.9%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),89.3%,368522,412664,88.7%,0.6%
Clinical Risk Groups,Patients with Chronic heart disease,92.3%,864535,936194,91.9%,0.5%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,82.3%,68131,82824,81.7%,0.5%
Clinical Risk Groups,Patients with Wider Learning Disability,80.2%,45059,56182,78.8%,1.4%
Clinical Risk Groups,Patients with Severe Mental Health,78.6%,61418,78127,76.9%,1.7%
Other Groups,Patients who are shielding (High Risk from COVID-19),82.1%,1873431,2280565,80.9%,1.3%
Other Groups,Patients with Morbid Obesity,86.5%,288330,333473,85.2%,1.3%
Other Groups,Patients who are pregnant,34.0%,9625,28350,31.8%,2.1%
