,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,15.7%,47278,302092,8.1%,7.5%
Sex,Female,16.9%,32466,191842,8.8%,8.1%
Sex,Male,13.4%,14812,110250,7.0%,6.4%
Ethnicity,White - British,15.9%,30541,192220,8.2%,7.7%
Ethnicity,White - Irish,19.0%,476,2506,10.3%,8.7%
Ethnicity,White - Any other White background,16.4%,1036,6300,9.1%,7.3%
Ethnicity,Mixed - White and Black Caribbean,9.3%,56,602,4.7%,4.7%
Ethnicity,Mixed - White and Black African,2.8%,7,252,0.0%,2.8%
Ethnicity,Mixed - White and Asian,5.9%,14,238,2.9%,2.9%
Ethnicity,Mixed - Any other mixed background,7.4%,35,476,2.9%,4.4%
Ethnicity,Asian or Asian British - Indian,12.1%,252,2079,7.4%,4.7%
Ethnicity,Asian or Asian British - Pakistani,6.3%,56,882,2.4%,4.0%
Ethnicity,Asian or Asian British - Bangladeshi,10.2%,42,413,5.1%,5.1%
Ethnicity,Asian or Asian British - Any other Asian background,10.6%,126,1190,7.1%,3.5%
Ethnicity,Black or Black British - Caribbean,11.3%,259,2289,6.1%,5.2%
Ethnicity,Black or Black British - African,10.0%,140,1407,6.0%,4.0%
Ethnicity,Black or Black British - Any other Black background,7.4%,56,756,3.7%,3.7%
Ethnicity,Other ethnic groups - Chinese,14.0%,49,350,6.0%,8.0%
Ethnicity,Other ethnic groups - Any other ethnic group,12.0%,140,1169,6.6%,5.4%
Ethnicity,Patients with any other ethnicity code,14.1%,5495,39004,7.9%,6.2%
Ethnicity,Ethnicity not stated,16.8%,462,2744,8.2%,8.7%
Ethnicity,Ethnicity not recorded,16.9%,7945,47089,8.3%,8.6%
Ethnicity (broad categories),White,15.9%,32060,201040,8.3%,7.7%
Ethnicity (broad categories),Mixed,8.4%,133,1589,4.4%,4.0%
Ethnicity (broad categories),South Asian,10.7%,490,4578,6.6%,4.1%
Ethnicity (broad categories),Black,10.3%,462,4466,6.0%,4.4%
Ethnicity (broad categories),Other,12.8%,196,1526,7.3%,5.5%
Ethnicity (broad categories),Unknown,15.7%,13909,88851,8.1%,7.5%
Index of Multiple Deprivation,1 (most deprived),16.4%,10017,60921,9.2%,7.2%
Index of Multiple Deprivation,2,14.2%,8939,63070,7.7%,6.5%
Index of Multiple Deprivation,3,16.0%,10171,63567,8.0%,8.0%
Index of Multiple Deprivation,4,15.5%,9387,60571,7.7%,7.8%
Index of Multiple Deprivation,5 (least deprived),16.4%,8540,52087,8.0%,8.4%
Index of Multiple Deprivation,Unknown,10.3%,189,1841,8.7%,1.5%
Clinical Risk Groups,Patients in Any Clinical Risk Group,15.6%,40642,260827,8.1%,7.5%
Clinical Risk Groups,Patients with Immunosuppression,16.5%,1526,9233,8.6%,7.9%
Clinical Risk Groups,Patients with CKD,18.2%,13769,75523,9.8%,8.4%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,17.3%,4830,27965,9.5%,7.8%
Clinical Risk Groups,Patients with Diabetes,16.2%,9261,57120,8.6%,7.6%
Clinical Risk Groups,Patients with Chronic Liver disease,14.1%,1113,7917,7.4%,6.6%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),16.0%,24479,153412,8.1%,7.9%
Clinical Risk Groups,Patients with Chronic heart disease,17.8%,19327,108871,9.4%,8.4%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,15.4%,357,2317,7.9%,7.6%
Clinical Risk Groups,Patients with Wider Learning Disability,5.8%,2632,45395,2.6%,3.2%
Clinical Risk Groups,Patients with Severe Mental Health,11.8%,3563,30177,6.2%,5.6%
Other Groups,Patients who are shielding (High Risk from COVID-19),17.8%,37625,211855,9.2%,8.6%
Other Groups,Patients with Morbid Obesity,12.2%,994,8176,6.1%,6.1%
Other Groups,Patients who are pregnant,9.5%,14,147,9.5%,0.0%
