,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,46.1%,1287195,2790452,25.5%,20.6%
Sex,Female,46.7%,655214,1403017,27.6%,19.1%
Sex,Male,45.6%,631981,1387435,23.4%,22.2%
Ethnicity,White - British,50.7%,746452,1472247,27.7%,23.0%
Ethnicity,White - Irish,49.3%,7238,14693,30.4%,18.9%
Ethnicity,White - Any other White background,34.0%,44268,130242,20.1%,13.9%
Ethnicity,Mixed - White and Black Caribbean,34.3%,2422,7063,21.1%,13.2%
Ethnicity,Mixed - White and Black African,32.4%,1778,5481,20.6%,11.9%
Ethnicity,Mixed - White and Asian,44.4%,1834,4130,27.3%,17.1%
Ethnicity,Mixed - Any other mixed background,38.4%,3353,8722,22.3%,16.1%
Ethnicity,Asian or Asian British - Indian,47.2%,19950,42224,32.5%,14.7%
Ethnicity,Asian or Asian British - Pakistani,36.1%,7182,19887,23.7%,12.5%
Ethnicity,Asian or Asian British - Bangladeshi,48.8%,2786,5705,30.1%,18.8%
Ethnicity,Asian or Asian British - Any other Asian background,42.6%,12236,28728,27.6%,15.0%
Ethnicity,Black or Black British - Caribbean,28.5%,7518,26376,17.8%,10.7%
Ethnicity,Black or Black British - African,31.8%,11718,36820,21.1%,10.7%
Ethnicity,Black or Black British - Any other Black background,30.3%,3514,11599,19.3%,11.0%
Ethnicity,Other ethnic groups - Chinese,38.1%,4641,12173,20.2%,17.9%
Ethnicity,Other ethnic groups - Any other ethnic group,35.5%,8106,22820,22.1%,13.4%
Ethnicity,Patients with any other ethnicity code,45.0%,163597,363601,25.4%,19.6%
Ethnicity,Ethnicity not stated,43.5%,9352,21476,20.9%,22.6%
Ethnicity,Ethnicity not recorded,41.2%,229173,556360,21.6%,19.5%
Ethnicity (broad categories),White,49.3%,797965,1617196,27.1%,22.2%
Ethnicity (broad categories),Mixed,36.9%,9387,25431,22.5%,14.4%
Ethnicity (broad categories),South Asian,43.7%,42175,96558,29.1%,14.6%
Ethnicity (broad categories),Black,30.4%,22757,74802,19.7%,10.8%
Ethnicity (broad categories),Other,36.4%,12747,35007,21.5%,15.0%
Ethnicity (broad categories),Unknown,42.7%,402129,941451,23.1%,19.7%
Index of Multiple Deprivation,1 (most deprived),39.1%,172284,440216,23.1%,16.1%
Index of Multiple Deprivation,2,43.1%,220598,511805,24.3%,18.8%
Index of Multiple Deprivation,3,46.5%,268723,577724,25.7%,20.9%
Index of Multiple Deprivation,4,48.5%,292901,603960,26.6%,21.9%
Index of Multiple Deprivation,5 (least deprived),51.1%,323505,633528,27.0%,24.1%
Index of Multiple Deprivation,Unknown,39.5%,9156,23205,26.6%,12.8%
Other Groups,Patients with Morbid Obesity,46.9%,37709,80402,37.6%,9.3%
Other Groups,Patients who are pregnant,40.0%,112,280,27.5%,12.5%
