,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,32.3%,1512945,4688159,32.2%,0.0%
Sex,Female,32.4%,816851,2522296,32.3%,0.0%
Sex,Male,32.1%,696094,2165863,32.1%,0.0%
Ethnicity,White - British,34.2%,877121,2560943,34.2%,0.0%
Ethnicity,White - Irish,36.1%,10150,28105,36.1%,0.0%
Ethnicity,White - Any other White background,26.5%,38626,146013,26.4%,0.0%
Ethnicity,Mixed - White and Black Caribbean,22.8%,2695,11816,22.7%,0.1%
Ethnicity,Mixed - White and Black African,25.3%,3080,12152,25.3%,0.1%
Ethnicity,Mixed - White and Asian,30.8%,2352,7637,30.8%,0.0%
Ethnicity,Mixed - Any other mixed background,27.9%,4305,15435,27.8%,0.0%
Ethnicity,Asian or Asian British - Indian,33.8%,41146,121863,33.7%,0.1%
Ethnicity,Asian or Asian British - Pakistani,21.6%,21175,97825,21.6%,0.1%
Ethnicity,Asian or Asian British - Bangladeshi,25.3%,12558,49637,25.3%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,32.7%,21063,64449,32.6%,0.1%
Ethnicity,Black or Black British - Caribbean,20.6%,8813,42861,20.5%,0.0%
Ethnicity,Black or Black British - African,23.2%,24038,103824,23.1%,0.1%
Ethnicity,Black or Black British - Any other Black background,20.9%,3941,18858,20.9%,0.0%
Ethnicity,Other ethnic groups - Chinese,29.0%,4046,13944,29.0%,0.1%
Ethnicity,Other ethnic groups - Any other ethnic group,25.1%,9807,39130,25.0%,0.0%
Ethnicity,Patients with any other ethnicity code,33.0%,204806,620886,33.0%,0.0%
Ethnicity,Ethnicity not stated,27.1%,7721,28469,27.1%,0.0%
Ethnicity,Ethnicity not recorded,30.6%,215411,704235,30.6%,0.0%
Ethnicity (broad categories),White,33.9%,925904,2735089,33.8%,0.0%
Ethnicity (broad categories),Mixed,26.5%,12453,47054,26.4%,0.1%
Ethnicity (broad categories),South Asian,28.7%,95956,333781,28.7%,0.1%
Ethnicity (broad categories),Black,22.2%,36799,165550,22.2%,0.1%
Ethnicity (broad categories),Other,26.1%,13867,53074,26.1%,0.0%
Ethnicity (broad categories),Unknown,31.6%,427945,1353590,31.6%,0.0%
Index of Multiple Deprivation,1 (most deprived),29.3%,290164,989009,29.3%,0.0%
Index of Multiple Deprivation,2,31.2%,295113,945434,31.2%,0.0%
Index of Multiple Deprivation,3,33.0%,307776,932799,33.0%,0.0%
Index of Multiple Deprivation,4,34.0%,306656,901880,34.0%,0.0%
Index of Multiple Deprivation,5 (least deprived),34.2%,299754,876400,34.2%,0.0%
Index of Multiple Deprivation,Unknown,31.6%,13475,42623,31.6%,0.0%
Clinical Risk Groups,Patients in Any Clinical Risk Group,32.1%,966658,3007214,32.1%,0.0%
Clinical Risk Groups,Patients with Immunosuppression,33.7%,146146,434154,33.6%,0.1%
Clinical Risk Groups,Patients with CKD,34.7%,142954,411642,34.7%,0.0%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,33.0%,194390,589015,33.0%,0.0%
Clinical Risk Groups,Patients with Diabetes,31.1%,425327,1366274,31.1%,0.0%
Clinical Risk Groups,Patients with Chronic Liver disease,32.7%,69216,211974,32.6%,0.0%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),31.1%,128331,412664,31.1%,0.0%
Clinical Risk Groups,Patients with Chronic heart disease,33.7%,315763,936194,33.7%,0.0%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,30.6%,25319,82824,30.5%,0.0%
Clinical Risk Groups,Patients with Wider Learning Disability,25.5%,14350,56182,25.5%,0.0%
Clinical Risk Groups,Patients with Severe Mental Health,25.8%,20167,78127,25.8%,0.0%
Other Groups,Patients who are shielding (High Risk from COVID-19),30.8%,701610,2280565,30.7%,0.0%
Other Groups,Patients with Morbid Obesity,32.9%,109550,333473,32.8%,0.0%
Other Groups,Patients who are pregnant,10.3%,2933,28350,10.3%,0.0%
