,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,32.3%,1513288,4690203,32.2%,0.0%
Sex,Female,32.4%,817005,2523549,32.3%,0.0%
Sex,Male,32.1%,696283,2166654,32.1%,0.0%
Ethnicity,White - British,34.2%,876813,2561699,34.2%,0.0%
Ethnicity,White - Irish,36.1%,10143,28098,36.1%,0.0%
Ethnicity,White - Any other White background,26.4%,38612,146111,26.4%,0.0%
Ethnicity,Mixed - White and Black Caribbean,22.8%,2695,11830,22.7%,0.1%
Ethnicity,Mixed - White and Black African,25.3%,3080,12180,25.2%,0.1%
Ethnicity,Mixed - White and Asian,30.8%,2352,7637,30.8%,0.0%
Ethnicity,Mixed - Any other mixed background,27.9%,4319,15470,27.8%,0.1%
Ethnicity,Asian or Asian British - Indian,33.7%,41139,121926,33.7%,0.1%
Ethnicity,Asian or Asian British - Pakistani,21.6%,21147,97874,21.6%,0.0%
Ethnicity,Asian or Asian British - Bangladeshi,25.3%,12558,49658,25.3%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,32.6%,21049,64484,32.5%,0.1%
Ethnicity,Black or Black British - Caribbean,20.5%,8806,42903,20.5%,0.0%
Ethnicity,Black or Black British - African,23.1%,23989,103908,23.0%,0.1%
Ethnicity,Black or Black British - Any other Black background,20.8%,3920,18858,20.7%,0.0%
Ethnicity,Other ethnic groups - Chinese,29.0%,4046,13958,29.0%,0.0%
Ethnicity,Other ethnic groups - Any other ethnic group,25.1%,9828,39158,25.1%,0.0%
Ethnicity,Patients with any other ethnicity code,32.9%,204848,621894,32.9%,0.0%
Ethnicity,Ethnicity not stated,27.1%,7728,28518,27.0%,0.0%
Ethnicity,Ethnicity not recorded,30.7%,216104,703941,30.7%,0.0%
Ethnicity (broad categories),White,33.8%,925582,2735929,33.8%,0.0%
Ethnicity (broad categories),Mixed,26.5%,12467,47131,26.4%,0.1%
Ethnicity (broad categories),South Asian,28.7%,95907,333956,28.7%,0.1%
Ethnicity (broad categories),Black,22.2%,36736,165683,22.1%,0.1%
Ethnicity (broad categories),Other,26.1%,13881,53116,26.1%,0.0%
Ethnicity (broad categories),Unknown,31.7%,428694,1354360,31.6%,0.0%
Index of Multiple Deprivation,1 (most deprived),29.3%,290332,989849,29.3%,0.0%
Index of Multiple Deprivation,2,31.2%,295218,945966,31.2%,0.0%
Index of Multiple Deprivation,3,33.0%,307797,933114,33.0%,0.0%
Index of Multiple Deprivation,4,34.0%,306719,902132,34.0%,0.0%
Index of Multiple Deprivation,5 (least deprived),34.2%,299733,876498,34.2%,0.0%
Index of Multiple Deprivation,Unknown,31.6%,13475,42623,31.6%,0.0%
Clinical Risk Groups,Patients in Any Clinical Risk Group,32.1%,966427,3009034,32.1%,0.0%
Clinical Risk Groups,Patients with Immunosuppression,33.6%,145985,434063,33.6%,0.0%
Clinical Risk Groups,Patients with CKD,34.7%,142611,411054,34.7%,0.0%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,33.0%,194152,588854,32.9%,0.0%
Clinical Risk Groups,Patients with Diabetes,31.1%,425341,1367464,31.1%,0.0%
Clinical Risk Groups,Patients with Chronic Liver disease,32.6%,69111,211890,32.6%,0.0%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),31.1%,128310,412881,31.1%,0.0%
Clinical Risk Groups,Patients with Chronic heart disease,33.7%,315546,936236,33.7%,0.0%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,30.5%,25305,82887,30.5%,0.0%
Clinical Risk Groups,Patients with Wider Learning Disability,25.5%,14364,56259,25.5%,0.0%
Clinical Risk Groups,Patients with Severe Mental Health,25.8%,20153,78183,25.8%,0.0%
Other Groups,Patients who are shielding (High Risk from COVID-19),30.7%,701757,2282994,30.7%,0.0%
Other Groups,Patients with Morbid Obesity,32.8%,109641,333921,32.8%,0.0%
Other Groups,Patients who are pregnant,10.2%,2912,28588,10.1%,0.0%
