,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,2.5%,69202,2790452,1.8%,0.7%
Sex,Female,3.8%,53641,1403017,2.7%,1.1%
Sex,Male,1.1%,15561,1387435,0.8%,0.3%
Ethnicity,White - British,2.6%,38094,1472247,1.8%,0.7%
Ethnicity,White - Irish,3.0%,441,14693,2.0%,1.0%
Ethnicity,White - Any other White background,1.5%,1897,130242,1.0%,0.5%
Ethnicity,Mixed - White and Black Caribbean,1.5%,105,7063,1.0%,0.5%
Ethnicity,Mixed - White and Black African,1.7%,91,5481,1.1%,0.5%
Ethnicity,Mixed - White and Asian,3.2%,133,4130,2.0%,1.2%
Ethnicity,Mixed - Any other mixed background,2.2%,189,8722,1.4%,0.7%
Ethnicity,Asian or Asian British - Indian,4.2%,1764,42224,3.2%,0.9%
Ethnicity,Asian or Asian British - Pakistani,1.8%,364,19887,1.4%,0.4%
Ethnicity,Asian or Asian British - Bangladeshi,1.2%,70,5705,0.9%,0.4%
Ethnicity,Asian or Asian British - Any other Asian background,3.6%,1022,28728,2.6%,1.0%
Ethnicity,Black or Black British - Caribbean,1.1%,287,26376,0.7%,0.4%
Ethnicity,Black or Black British - African,1.9%,686,36820,1.2%,0.7%
Ethnicity,Black or Black British - Any other Black background,1.6%,189,11599,1.2%,0.4%
Ethnicity,Other ethnic groups - Chinese,1.4%,168,12173,1.0%,0.4%
Ethnicity,Other ethnic groups - Any other ethnic group,1.8%,420,22820,1.4%,0.5%
Ethnicity,Patients with any other ethnicity code,2.5%,8953,363601,1.8%,0.7%
Ethnicity,Ethnicity not stated,2.4%,511,21476,1.9%,0.5%
Ethnicity,Ethnicity not recorded,2.5%,13706,556360,1.8%,0.7%
Ethnicity (broad categories),White,2.5%,40439,1617196,1.8%,0.7%
Ethnicity (broad categories),Mixed,2.1%,546,25431,1.4%,0.7%
Ethnicity (broad categories),South Asian,3.4%,3241,96558,2.6%,0.8%
Ethnicity (broad categories),Black,1.6%,1176,74802,1.0%,0.5%
Ethnicity (broad categories),Other,1.7%,588,35007,1.3%,0.4%
Ethnicity (broad categories),Unknown,2.5%,23184,941451,1.8%,0.6%
Index of Multiple Deprivation,1 (most deprived),2.0%,8708,440216,1.4%,0.6%
Index of Multiple Deprivation,2,2.3%,11648,511805,1.6%,0.7%
Index of Multiple Deprivation,3,2.5%,14301,577724,1.8%,0.7%
Index of Multiple Deprivation,4,2.6%,15981,603960,1.9%,0.7%
Index of Multiple Deprivation,5 (least deprived),2.8%,18053,633528,2.1%,0.7%
Index of Multiple Deprivation,Unknown,2.2%,504,23205,1.7%,0.5%
Other Groups,Patients with Morbid Obesity,2.8%,2233,80402,1.9%,0.9%
Other Groups,Patients who are pregnant,0.0%,0,280,0.0%,0.0%
