,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,1.4%,66521,4690203,1.0%,0.4%
Sex,Female,1.7%,42287,2523549,1.2%,0.5%
Sex,Male,1.1%,24234,2166654,0.8%,0.3%
Ethnicity,White - British,1.3%,33432,2561699,0.9%,0.4%
Ethnicity,White - Irish,2.0%,553,28098,1.5%,0.5%
Ethnicity,White - Any other White background,1.5%,2163,146111,1.0%,0.4%
Ethnicity,Mixed - White and Black Caribbean,1.2%,147,11830,0.8%,0.5%
Ethnicity,Mixed - White and Black African,2.0%,245,12180,1.4%,0.6%
Ethnicity,Mixed - White and Asian,2.3%,175,7637,1.6%,0.6%
Ethnicity,Mixed - Any other mixed background,2.2%,343,15470,1.5%,0.7%
Ethnicity,Asian or Asian British - Indian,3.4%,4102,121926,2.5%,0.8%
Ethnicity,Asian or Asian British - Pakistani,1.1%,1057,97874,0.9%,0.2%
Ethnicity,Asian or Asian British - Bangladeshi,1.0%,483,49658,0.7%,0.3%
Ethnicity,Asian or Asian British - Any other Asian background,3.2%,2093,64484,2.4%,0.8%
Ethnicity,Black or Black British - Caribbean,1.0%,441,42903,0.7%,0.3%
Ethnicity,Black or Black British - African,1.5%,1589,103908,1.1%,0.4%
Ethnicity,Black or Black British - Any other Black background,1.4%,259,18858,1.0%,0.4%
Ethnicity,Other ethnic groups - Chinese,1.5%,203,13958,1.0%,0.5%
Ethnicity,Other ethnic groups - Any other ethnic group,2.0%,798,39158,1.4%,0.6%
Ethnicity,Patients with any other ethnicity code,1.4%,8995,621894,1.0%,0.4%
Ethnicity,Ethnicity not stated,1.4%,406,28518,1.0%,0.4%
Ethnicity,Ethnicity not recorded,1.3%,8946,703941,0.9%,0.4%
Ethnicity (broad categories),White,1.3%,36155,2735929,0.9%,0.4%
Ethnicity (broad categories),Mixed,2.0%,924,47131,1.4%,0.6%
Ethnicity (broad categories),South Asian,2.3%,7749,333956,1.8%,0.6%
Ethnicity (broad categories),Black,1.4%,2303,165683,1.0%,0.4%
Ethnicity (broad categories),Other,1.9%,1008,53116,1.3%,0.6%
Ethnicity (broad categories),Unknown,1.4%,18361,1354360,1.0%,0.4%
Index of Multiple Deprivation,1 (most deprived),1.3%,12691,989849,0.9%,0.4%
Index of Multiple Deprivation,2,1.4%,13412,945966,1.0%,0.4%
Index of Multiple Deprivation,3,1.5%,13685,933114,1.0%,0.4%
Index of Multiple Deprivation,4,1.5%,13300,902132,1.1%,0.4%
Index of Multiple Deprivation,5 (least deprived),1.5%,12775,876498,1.1%,0.4%
Index of Multiple Deprivation,Unknown,1.5%,644,42623,1.0%,0.5%
Clinical Risk Groups,Patients in Any Clinical Risk Group,1.6%,46942,3009034,1.1%,0.4%
Clinical Risk Groups,Patients with Immunosuppression,2.5%,11039,434063,1.9%,0.7%
Clinical Risk Groups,Patients with CKD,1.7%,7084,411054,1.3%,0.4%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,1.4%,8309,588854,1.0%,0.4%
Clinical Risk Groups,Patients with Diabetes,1.5%,20559,1367464,1.1%,0.4%
Clinical Risk Groups,Patients with Chronic Liver disease,1.5%,3143,211890,1.1%,0.4%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),1.2%,5089,412881,0.9%,0.4%
Clinical Risk Groups,Patients with Chronic heart disease,1.3%,11991,936236,0.9%,0.4%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,2.0%,1631,82887,1.5%,0.5%
Clinical Risk Groups,Patients with Wider Learning Disability,0.7%,406,56259,0.4%,0.3%
Clinical Risk Groups,Patients with Severe Mental Health,0.8%,651,78183,0.5%,0.3%
Other Groups,Patients who are shielding (High Risk from COVID-19),2.0%,45766,2282994,1.5%,0.5%
Other Groups,Patients with Morbid Obesity,1.5%,5075,333921,1.1%,0.4%
Other Groups,Patients who are pregnant,0.5%,140,28588,0.3%,0.2%
