,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,24.3%,73458,302092,23.8%,0.5%
Sex,Female,25.8%,49476,191842,25.3%,0.5%
Sex,Male,21.8%,23982,110250,21.3%,0.5%
Ethnicity,White - British,24.7%,47537,192220,24.2%,0.6%
Ethnicity,White - Irish,23.2%,581,2506,22.1%,1.1%
Ethnicity,White - Any other White background,23.1%,1456,6300,22.6%,0.6%
Ethnicity,Mixed - White and Black Caribbean,11.6%,70,602,11.6%,0.0%
Ethnicity,Mixed - White and Black African,11.1%,28,252,11.1%,0.0%
Ethnicity,Mixed - White and Asian,14.7%,35,238,14.7%,0.0%
Ethnicity,Mixed - Any other mixed background,14.7%,70,476,14.7%,0.0%
Ethnicity,Asian or Asian British - Indian,22.2%,462,2079,21.9%,0.3%
Ethnicity,Asian or Asian British - Pakistani,15.1%,133,882,15.1%,0.0%
Ethnicity,Asian or Asian British - Bangladeshi,15.3%,63,413,15.3%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,20.6%,245,1190,20.6%,0.0%
Ethnicity,Black or Black British - Caribbean,14.4%,329,2289,14.1%,0.3%
Ethnicity,Black or Black British - African,16.9%,238,1407,16.9%,0.0%
Ethnicity,Black or Black British - Any other Black background,10.2%,77,756,10.2%,0.0%
Ethnicity,Other ethnic groups - Chinese,24.0%,84,350,24.0%,0.0%
Ethnicity,Other ethnic groups - Any other ethnic group,17.4%,203,1169,17.4%,0.0%
Ethnicity,Patients with any other ethnicity code,23.6%,9198,39004,23.2%,0.4%
Ethnicity,Ethnicity not stated,25.3%,693,2744,24.5%,0.8%
Ethnicity,Ethnicity not recorded,25.2%,11844,47089,24.8%,0.4%
Ethnicity (broad categories),White,24.7%,49588,201040,24.1%,0.6%
Ethnicity (broad categories),Mixed,14.1%,224,1589,14.1%,0.0%
Ethnicity (broad categories),South Asian,20.2%,924,4578,19.9%,0.3%
Ethnicity (broad categories),Black,14.7%,658,4466,14.6%,0.2%
Ethnicity (broad categories),Other,19.3%,294,1526,18.8%,0.5%
Ethnicity (broad categories),Unknown,24.5%,21742,88851,24.1%,0.4%
Index of Multiple Deprivation,1 (most deprived),24.3%,14826,60921,23.7%,0.6%
Index of Multiple Deprivation,2,21.1%,13335,63070,20.7%,0.4%
Index of Multiple Deprivation,3,23.5%,14917,63567,23.0%,0.4%
Index of Multiple Deprivation,4,25.2%,15260,60571,24.6%,0.6%
Index of Multiple Deprivation,5 (least deprived),28.1%,14637,52087,27.6%,0.5%
Index of Multiple Deprivation,Unknown,24.7%,455,1841,24.7%,0.0%
Clinical Risk Groups,Patients in Any Clinical Risk Group,24.2%,63154,260827,23.7%,0.5%
Clinical Risk Groups,Patients with Immunosuppression,26.6%,2457,9233,26.1%,0.5%
Clinical Risk Groups,Patients with CKD,28.0%,21168,75523,27.4%,0.6%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,26.8%,7504,27965,26.3%,0.5%
Clinical Risk Groups,Patients with Diabetes,25.5%,14567,57120,25.0%,0.5%
Clinical Risk Groups,Patients with Chronic Liver disease,22.6%,1792,7917,22.2%,0.4%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),24.1%,36967,153412,23.6%,0.5%
Clinical Risk Groups,Patients with Chronic heart disease,27.0%,29435,108871,26.5%,0.6%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,24.8%,574,2317,24.5%,0.3%
Clinical Risk Groups,Patients with Wider Learning Disability,12.6%,5726,45395,12.5%,0.1%
Clinical Risk Groups,Patients with Severe Mental Health,18.2%,5502,30177,17.9%,0.3%
Other Groups,Patients who are shielding (High Risk from COVID-19),26.0%,55083,211855,25.4%,0.6%
Other Groups,Patients with Morbid Obesity,20.3%,1659,8176,19.9%,0.4%
Other Groups,Patients who are pregnant,14.3%,21,147,14.3%,0.0%
