,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,2.2%,47474,2139536,1.6%,0.6%
Sex,Female,3.2%,35714,1109066,2.3%,0.9%
Sex,Male,1.1%,11760,1030470,0.8%,0.3%
Ethnicity,White - British,2.3%,26628,1173970,1.6%,0.6%
Ethnicity,White - Irish,2.9%,329,11291,2.0%,0.9%
Ethnicity,White - Any other White background,1.4%,1267,88907,1.0%,0.4%
Ethnicity,Mixed - White and Black Caribbean,1.6%,63,4004,1.0%,0.5%
Ethnicity,Mixed - White and Black African,2.2%,70,3241,1.5%,0.6%
Ethnicity,Mixed - White and Asian,3.1%,77,2513,2.5%,0.6%
Ethnicity,Mixed - Any other mixed background,2.1%,112,5383,1.3%,0.8%
Ethnicity,Asian or Asian British - Indian,3.4%,1141,33516,2.6%,0.8%
Ethnicity,Asian or Asian British - Pakistani,1.7%,245,14049,1.3%,0.4%
Ethnicity,Asian or Asian British - Bangladeshi,0.8%,28,3374,0.8%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,3.7%,700,18907,2.7%,1.0%
Ethnicity,Black or Black British - Caribbean,1.0%,168,17129,0.6%,0.4%
Ethnicity,Black or Black British - African,2.0%,413,21042,1.2%,0.7%
Ethnicity,Black or Black British - Any other Black background,1.1%,63,5586,0.6%,0.5%
Ethnicity,Other ethnic groups - Chinese,1.1%,98,9086,0.8%,0.3%
Ethnicity,Other ethnic groups - Any other ethnic group,1.9%,273,14406,1.4%,0.5%
Ethnicity,Patients with any other ethnicity code,2.2%,6174,279230,1.6%,0.6%
Ethnicity,Ethnicity not stated,2.1%,315,15260,1.7%,0.4%
Ethnicity,Ethnicity not recorded,2.2%,9198,418537,1.6%,0.6%
Ethnicity (broad categories),White,2.2%,28231,1274175,1.6%,0.6%
Ethnicity (broad categories),Mixed,2.2%,336,15162,1.6%,0.6%
Ethnicity (broad categories),South Asian,3.1%,2135,69874,2.3%,0.8%
Ethnicity (broad categories),Black,1.5%,658,43764,0.9%,0.6%
Ethnicity (broad categories),Other,1.6%,385,23492,1.1%,0.5%
Ethnicity (broad categories),Unknown,2.2%,15694,713048,1.6%,0.6%
Index of Multiple Deprivation,1 (most deprived),1.9%,6020,314139,1.3%,0.6%
Index of Multiple Deprivation,2,2.1%,7945,380744,1.5%,0.6%
Index of Multiple Deprivation,3,2.2%,9968,449197,1.6%,0.6%
Index of Multiple Deprivation,4,2.3%,11193,478303,1.7%,0.6%
Index of Multiple Deprivation,5 (least deprived),2.4%,11977,498477,1.8%,0.6%
Index of Multiple Deprivation,Unknown,1.8%,343,18662,1.4%,0.4%
Other Groups,Patients with Morbid Obesity,2.3%,1246,54817,1.6%,0.6%
Other Groups,Patients who are pregnant,0.0%,0,196,0.0%,0.0%
