,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,2.0%,41755,2139193,1.4%,0.5%
Sex,Female,2.8%,31353,1108849,2.1%,0.8%
Sex,Male,1.0%,10402,1030344,0.7%,0.3%
Ethnicity,White - British,2.0%,23177,1175013,1.4%,0.5%
Ethnicity,White - Irish,2.5%,287,11291,1.8%,0.7%
Ethnicity,White - Any other White background,1.3%,1127,88977,0.9%,0.3%
Ethnicity,Mixed - White and Black Caribbean,1.4%,56,4004,1.0%,0.3%
Ethnicity,Mixed - White and Black African,1.9%,63,3248,1.3%,0.6%
Ethnicity,Mixed - White and Asian,2.8%,70,2520,1.9%,0.8%
Ethnicity,Mixed - Any other mixed background,1.7%,91,5397,1.2%,0.5%
Ethnicity,Asian or Asian British - Indian,3.0%,1008,33558,2.3%,0.7%
Ethnicity,Asian or Asian British - Pakistani,1.4%,203,14070,1.2%,0.2%
Ethnicity,Asian or Asian British - Bangladeshi,0.8%,28,3381,0.6%,0.2%
Ethnicity,Asian or Asian British - Any other Asian background,3.3%,623,18928,2.5%,0.8%
Ethnicity,Black or Black British - Caribbean,0.8%,133,17171,0.5%,0.2%
Ethnicity,Black or Black British - African,1.6%,343,21077,1.1%,0.6%
Ethnicity,Black or Black British - Any other Black background,0.9%,49,5586,0.5%,0.4%
Ethnicity,Other ethnic groups - Chinese,0.9%,84,9093,0.7%,0.2%
Ethnicity,Other ethnic groups - Any other ethnic group,1.7%,252,14427,1.3%,0.5%
Ethnicity,Patients with any other ethnicity code,2.0%,5516,279608,1.4%,0.6%
Ethnicity,Ethnicity not stated,1.9%,287,15288,1.5%,0.4%
Ethnicity,Ethnicity not recorded,2.0%,8274,416451,1.5%,0.5%
Ethnicity (broad categories),White,1.9%,24598,1275288,1.4%,0.5%
Ethnicity (broad categories),Mixed,1.9%,287,15183,1.3%,0.6%
Ethnicity (broad categories),South Asian,2.7%,1876,69965,2.1%,0.6%
Ethnicity (broad categories),Black,1.2%,546,43848,0.8%,0.4%
Ethnicity (broad categories),Other,1.5%,343,23527,1.1%,0.4%
Ethnicity (broad categories),Unknown,2.0%,14084,711361,1.4%,0.5%
Index of Multiple Deprivation,1 (most deprived),1.6%,5131,313859,1.2%,0.5%
Index of Multiple Deprivation,2,1.8%,6923,380597,1.3%,0.5%
Index of Multiple Deprivation,3,1.9%,8715,449197,1.4%,0.6%
Index of Multiple Deprivation,4,2.1%,9884,478303,1.5%,0.5%
Index of Multiple Deprivation,5 (least deprived),2.2%,10738,498554,1.6%,0.6%
Index of Multiple Deprivation,Unknown,1.8%,343,18662,1.3%,0.5%
Other Groups,Patients with Morbid Obesity,2.0%,1078,54922,1.4%,0.5%
Other Groups,Patients who are pregnant,0.0%,0,196,0.0%,0.0%
