,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,79.4%,1699481,2139536,71.6%,7.8%
Sex,Female,82.4%,913507,1109066,75.2%,7.2%
Sex,Male,76.3%,785974,1030470,67.8%,8.4%
Ethnicity,White - British,85.6%,1004409,1173970,77.4%,8.2%
Ethnicity,White - Irish,78.7%,8890,11291,73.0%,5.7%
Ethnicity,White - Any other White background,54.1%,48097,88907,48.7%,5.4%
Ethnicity,Mixed - White and Black Caribbean,57.2%,2289,4004,50.9%,6.3%
Ethnicity,Mixed - White and Black African,57.7%,1869,3241,51.0%,6.7%
Ethnicity,Mixed - White and Asian,72.7%,1827,2513,66.0%,6.7%
Ethnicity,Mixed - Any other mixed background,64.5%,3472,5383,57.6%,6.9%
Ethnicity,Asian or Asian British - Indian,77.9%,26124,33516,73.2%,4.8%
Ethnicity,Asian or Asian British - Pakistani,57.9%,8141,14049,51.7%,6.3%
Ethnicity,Asian or Asian British - Bangladeshi,69.9%,2359,3374,60.4%,9.5%
Ethnicity,Asian or Asian British - Any other Asian background,70.3%,13300,18907,64.3%,6.0%
Ethnicity,Black or Black British - Caribbean,46.5%,7973,17129,40.6%,5.9%
Ethnicity,Black or Black British - African,52.7%,11088,21042,46.2%,6.5%
Ethnicity,Black or Black British - Any other Black background,51.9%,2898,5586,45.4%,6.5%
Ethnicity,Other ethnic groups - Chinese,62.7%,5698,9086,54.0%,8.7%
Ethnicity,Other ethnic groups - Any other ethnic group,55.6%,8015,14406,50.0%,5.7%
Ethnicity,Patients with any other ethnicity code,80.1%,223741,279230,72.3%,7.8%
Ethnicity,Ethnicity not stated,74.0%,11298,15260,65.7%,8.3%
Ethnicity,Ethnicity not recorded,73.6%,307902,418537,65.8%,7.7%
Ethnicity (broad categories),White,83.3%,1061403,1274175,75.3%,8.0%
Ethnicity (broad categories),Mixed,62.4%,9464,15162,55.9%,6.5%
Ethnicity (broad categories),South Asian,71.5%,49938,69874,65.8%,5.6%
Ethnicity (broad categories),Black,50.2%,21973,43764,43.9%,6.3%
Ethnicity (broad categories),Other,58.4%,13720,23492,51.5%,6.9%
Ethnicity (broad categories),Unknown,76.1%,542948,713048,68.4%,7.8%
Index of Multiple Deprivation,1 (most deprived),68.6%,215348,314139,59.7%,8.8%
Index of Multiple Deprivation,2,74.6%,284144,380744,66.5%,8.2%
Index of Multiple Deprivation,3,80.3%,360808,449197,72.5%,7.8%
Index of Multiple Deprivation,4,83.4%,398706,478303,75.9%,7.5%
Index of Multiple Deprivation,5 (least deprived),85.5%,426083,498477,78.2%,7.3%
Index of Multiple Deprivation,Unknown,77.0%,14378,18662,72.2%,4.8%
Other Groups,Patients with Morbid Obesity,85.6%,46942,54817,81.4%,4.2%
Other Groups,Patients who are pregnant,82.1%,161,196,75.0%,7.1%
