,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,11.3%,350826,3097661,11.2%,0.2%
Sex,Female,16.4%,249760,1523851,16.2%,0.2%
Sex,Male,6.4%,101066,1573810,6.3%,0.1%
Ethnicity,White - British,12.5%,191359,1531530,12.3%,0.2%
Ethnicity,White - Irish,12.2%,1946,16016,12.0%,0.2%
Ethnicity,White - Any other White background,6.5%,12425,191289,6.4%,0.1%
Ethnicity,Mixed - White and Black Caribbean,9.5%,728,7644,9.4%,0.1%
Ethnicity,Mixed - White and Black African,11.6%,952,8225,11.5%,0.1%
Ethnicity,Mixed - White and Asian,13.5%,819,6076,13.2%,0.2%
Ethnicity,Mixed - Any other mixed background,9.6%,1155,12089,9.5%,0.1%
Ethnicity,Asian or Asian British - Indian,15.2%,9142,60235,15.0%,0.2%
Ethnicity,Asian or Asian British - Pakistani,8.2%,3332,40523,8.1%,0.1%
Ethnicity,Asian or Asian British - Bangladeshi,7.7%,980,12775,7.6%,0.1%
Ethnicity,Asian or Asian British - Any other Asian background,15.2%,6755,44338,15.0%,0.2%
Ethnicity,Black or Black British - Caribbean,6.9%,1736,25158,6.8%,0.1%
Ethnicity,Black or Black British - African,10.1%,5782,57414,9.9%,0.1%
Ethnicity,Black or Black British - Any other Black background,8.5%,1106,13076,8.4%,0.1%
Ethnicity,Other ethnic groups - Chinese,6.4%,973,15099,6.3%,0.1%
Ethnicity,Other ethnic groups - Any other ethnic group,7.9%,2716,34461,7.7%,0.1%
Ethnicity,Patients with any other ethnicity code,11.6%,46872,402626,11.5%,0.2%
Ethnicity,Ethnicity not given - patient refused,,0,0,,
Ethnicity,Ethnicity not stated,9.4%,2310,24619,9.3%,0.1%
Ethnicity,Ethnicity not recorded,10.0%,59633,594363,9.9%,0.1%
Ethnicity (broad categories),White,11.8%,205744,1738849,11.7%,0.2%
Ethnicity (broad categories),Mixed,10.8%,3668,34055,10.7%,0.1%
Ethnicity (broad categories),South Asian,12.8%,20209,157892,12.6%,0.2%
Ethnicity (broad categories),Black,9.0%,8645,95662,8.9%,0.1%
Ethnicity (broad categories),Other,7.4%,3689,49567,7.3%,0.1%
Ethnicity (broad categories),Unknown,10.7%,108822,1021615,10.5%,0.1%
Index of Multiple Deprivation,1 (most deprived),10.4%,55356,532602,10.3%,0.1%
Index of Multiple Deprivation,2,11.0%,65212,590240,10.9%,0.1%
Index of Multiple Deprivation,3,11.6%,73059,627942,11.5%,0.1%
Index of Multiple Deprivation,4,11.8%,75768,644189,11.6%,0.2%
Index of Multiple Deprivation,5 (least deprived),11.6%,78295,676984,11.4%,0.2%
Index of Multiple Deprivation,Unknown,12.1%,3115,25676,12.1%,0.1%
Other Groups,Patients with Morbid Obesity,28.0%,26264,93940,27.8%,0.2%
Other Groups,Patients who are pregnant,11.7%,63,539,11.7%,0.0%
