,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,11.4%,34342,301882,7.0%,4.4%
Sex,Female,12.3%,23639,191709,7.5%,4.8%
Sex,Male,9.7%,10703,110173,6.0%,3.7%
Ethnicity,White - British,11.4%,21861,191968,7.0%,4.4%
Ethnicity,White - Irish,13.7%,343,2506,9.5%,4.2%
Ethnicity,White - Any other White background,11.8%,742,6293,8.2%,3.6%
Ethnicity,Mixed - White and Black Caribbean,7.0%,42,602,4.7%,2.3%
Ethnicity,Mixed - White and Black African,2.8%,7,252,0.0%,2.8%
Ethnicity,Mixed - White and Asian,3.0%,7,231,3.0%,0.0%
Ethnicity,Mixed - Any other mixed background,5.8%,28,483,2.9%,2.9%
Ethnicity,Asian or Asian British - Indian,9.5%,196,2065,6.8%,2.7%
Ethnicity,Asian or Asian British - Pakistani,4.8%,42,882,2.4%,2.4%
Ethnicity,Asian or Asian British - Bangladeshi,6.9%,28,406,3.4%,3.4%
Ethnicity,Asian or Asian British - Any other Asian background,8.2%,98,1190,6.5%,1.8%
Ethnicity,Black or Black British - Caribbean,8.3%,189,2289,5.5%,2.8%
Ethnicity,Black or Black British - African,8.0%,112,1407,5.0%,3.0%
Ethnicity,Black or Black British - Any other Black background,5.6%,42,756,3.7%,1.9%
Ethnicity,Other ethnic groups - Chinese,7.8%,28,357,3.9%,3.9%
Ethnicity,Other ethnic groups - Any other ethnic group,9.0%,105,1162,6.6%,2.4%
Ethnicity,Patients with any other ethnicity code,11.0%,4305,38983,6.6%,4.4%
Ethnicity,Ethnicity not stated,13.5%,371,2758,7.1%,6.3%
Ethnicity,Ethnicity not recorded,12.1%,5705,47166,7.2%,4.9%
Ethnicity (broad categories),White,11.4%,22960,200788,7.0%,4.4%
Ethnicity (broad categories),Mixed,6.1%,98,1596,4.4%,1.8%
Ethnicity (broad categories),South Asian,8.3%,378,4564,6.0%,2.3%
Ethnicity (broad categories),Black,7.8%,350,4459,5.5%,2.4%
Ethnicity (broad categories),Other,9.1%,140,1533,6.4%,2.7%
Ethnicity (broad categories),Unknown,11.7%,10388,88914,7.0%,4.7%
Index of Multiple Deprivation,1 (most deprived),11.4%,6909,60872,7.9%,3.4%
Index of Multiple Deprivation,2,10.7%,6776,63035,6.5%,4.2%
Index of Multiple Deprivation,3,11.6%,7364,63525,6.5%,5.1%
Index of Multiple Deprivation,4,11.5%,6958,60522,6.8%,4.7%
Index of Multiple Deprivation,5 (least deprived),11.7%,6111,52059,7.0%,4.7%
Index of Multiple Deprivation,Unknown,10.3%,189,1841,7.6%,2.7%
Clinical Risk Groups,Patients in Any Clinical Risk Group,11.4%,29603,260421,6.9%,4.4%
Clinical Risk Groups,Patients with Immunosuppression,11.9%,1092,9205,7.6%,4.3%
Clinical Risk Groups,Patients with CKD,13.5%,10157,75250,8.4%,5.1%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,12.8%,3563,27902,8.2%,4.6%
Clinical Risk Groups,Patients with Diabetes,12.0%,6832,57050,7.4%,4.6%
Clinical Risk Groups,Patients with Chronic Liver disease,10.4%,819,7910,6.4%,4.0%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),11.6%,17696,153076,6.9%,4.6%
Clinical Risk Groups,Patients with Chronic heart disease,13.0%,14133,108647,8.0%,5.0%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,11.2%,259,2310,6.4%,4.8%
Clinical Risk Groups,Patients with Wider Learning Disability,4.2%,1925,45297,2.1%,2.1%
Clinical Risk Groups,Patients with Severe Mental Health,8.7%,2611,30142,5.2%,3.4%
Other Groups,Patients who are shielding (High Risk from COVID-19),12.8%,27167,211806,7.8%,5.0%
Other Groups,Patients with Morbid Obesity,8.6%,700,8176,5.0%,3.6%
Other Groups,Patients who are pregnant,9.5%,14,147,9.5%,0.0%
