,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,59.7%,1665636,2790452,39.0%,20.7%
Sex,Female,65.4%,916951,1403017,46.1%,19.2%
Sex,Male,54.0%,748685,1387435,31.7%,22.3%
Ethnicity,White - British,65.5%,963732,1472247,42.4%,23.1%
Ethnicity,White - Irish,64.5%,9478,14693,45.6%,18.9%
Ethnicity,White - Any other White background,42.8%,55741,130242,28.8%,14.0%
Ethnicity,Mixed - White and Black Caribbean,45.6%,3220,7063,32.4%,13.2%
Ethnicity,Mixed - White and Black African,45.5%,2492,5481,33.6%,11.9%
Ethnicity,Mixed - White and Asian,59.2%,2443,4130,42.2%,16.9%
Ethnicity,Mixed - Any other mixed background,50.0%,4361,8722,33.7%,16.3%
Ethnicity,Asian or Asian British - Indian,64.9%,27419,42224,50.1%,14.9%
Ethnicity,Asian or Asian British - Pakistani,46.4%,9219,19887,33.8%,12.6%
Ethnicity,Asian or Asian British - Bangladeshi,58.2%,3318,5705,39.5%,18.7%
Ethnicity,Asian or Asian British - Any other Asian background,57.5%,16520,28728,42.5%,15.0%
Ethnicity,Black or Black British - Caribbean,37.0%,9751,26376,26.2%,10.7%
Ethnicity,Black or Black British - African,43.7%,16107,36820,32.9%,10.9%
Ethnicity,Black or Black British - Any other Black background,40.1%,4648,11599,29.0%,11.1%
Ethnicity,Other ethnic groups - Chinese,46.2%,5621,12173,28.2%,18.0%
Ethnicity,Other ethnic groups - Any other ethnic group,45.4%,10367,22820,32.0%,13.5%
Ethnicity,Patients with any other ethnicity code,58.9%,214256,363601,39.2%,19.8%
Ethnicity,Ethnicity not stated,55.0%,11809,21476,32.3%,22.7%
Ethnicity,Ethnicity not recorded,53.0%,295008,556360,33.4%,19.7%
Ethnicity (broad categories),White,63.6%,1028972,1617196,41.3%,22.3%
Ethnicity (broad categories),Mixed,49.3%,12530,25431,34.7%,14.5%
Ethnicity (broad categories),South Asian,58.5%,56497,96558,43.8%,14.7%
Ethnicity (broad categories),Black,40.8%,30527,74802,29.9%,10.9%
Ethnicity (broad categories),Other,45.7%,15995,35007,30.7%,15.0%
Ethnicity (broad categories),Unknown,55.3%,521087,941451,35.6%,19.8%
Index of Multiple Deprivation,1 (most deprived),51.6%,226933,440216,35.4%,16.2%
Index of Multiple Deprivation,2,56.2%,287756,511805,37.4%,18.9%
Index of Multiple Deprivation,3,60.4%,348936,577724,39.4%,21.0%
Index of Multiple Deprivation,4,62.7%,378476,603960,40.6%,22.0%
Index of Multiple Deprivation,5 (least deprived),64.9%,411180,633528,40.7%,24.2%
Index of Multiple Deprivation,Unknown,53.1%,12327,23205,40.2%,12.9%
Other Groups,Patients with Morbid Obesity,77.8%,62559,80402,68.4%,9.4%
Other Groups,Patients who are pregnant,55.0%,154,280,42.5%,12.5%
