,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,38.0%,1061130,2790221,16.8%,21.2%
Sex,Female,39.3%,550977,1402842,19.4%,19.9%
Sex,Male,36.8%,510153,1387379,14.3%,22.5%
Ethnicity,White - British,41.3%,609000,1473290,18.2%,23.1%
Ethnicity,White - Irish,41.5%,6104,14707,21.5%,20.0%
Ethnicity,White - Any other White background,28.2%,36694,130347,14.0%,14.1%
Ethnicity,Mixed - White and Black Caribbean,28.4%,2009,7077,15.1%,13.3%
Ethnicity,Mixed - White and Black African,27.0%,1484,5495,15.3%,11.7%
Ethnicity,Mixed - White and Asian,37.3%,1547,4144,18.8%,18.6%
Ethnicity,Mixed - Any other mixed background,31.2%,2723,8729,15.7%,15.5%
Ethnicity,Asian or Asian British - Indian,41.5%,17521,42231,23.8%,17.7%
Ethnicity,Asian or Asian British - Pakistani,30.6%,6097,19908,16.9%,13.7%
Ethnicity,Asian or Asian British - Bangladeshi,41.5%,2373,5719,22.0%,19.5%
Ethnicity,Asian or Asian British - Any other Asian background,36.2%,10430,28784,20.2%,16.1%
Ethnicity,Black or Black British - Caribbean,23.5%,6195,26397,13.5%,10.0%
Ethnicity,Black or Black British - African,26.4%,9751,36869,16.7%,9.8%
Ethnicity,Black or Black British - Any other Black background,24.9%,2884,11592,14.3%,10.6%
Ethnicity,Other ethnic groups - Chinese,31.5%,3836,12173,13.1%,18.5%
Ethnicity,Other ethnic groups - Any other ethnic group,29.9%,6832,22848,15.9%,14.0%
Ethnicity,Patients with any other ethnicity code,38.1%,138586,364028,16.3%,21.7%
Ethnicity,Ethnicity not stated,34.4%,7399,21525,12.7%,21.6%
Ethnicity,Ethnicity not recorded,34.2%,189588,554253,13.8%,20.4%
Ethnicity (broad categories),White,40.3%,651805,1618358,17.9%,22.4%
Ethnicity (broad categories),Mixed,30.5%,7777,25473,16.0%,14.5%
Ethnicity (broad categories),South Asian,37.7%,36435,96656,21.2%,16.5%
Ethnicity (broad categories),Black,25.2%,18837,74872,15.2%,10.0%
Ethnicity (broad categories),Other,30.4%,10668,35035,14.9%,15.5%
Ethnicity (broad categories),Unknown,35.7%,335580,939820,14.8%,20.9%
Index of Multiple Deprivation,1 (most deprived),32.3%,141939,440048,15.8%,16.4%
Index of Multiple Deprivation,2,35.7%,182658,511686,16.7%,19.0%
Index of Multiple Deprivation,3,38.5%,222404,577745,17.1%,21.4%
Index of Multiple Deprivation,4,40.1%,241906,603960,17.4%,22.7%
Index of Multiple Deprivation,5 (least deprived),41.5%,263046,633563,16.9%,24.6%
Index of Multiple Deprivation,Unknown,39.5%,9156,23205,17.0%,22.5%
Other Groups,Patients with Morbid Obesity,43.1%,34685,80479,31.5%,11.6%
Other Groups,Patients who are pregnant,35.0%,98,280,15.0%,20.0%
