,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,11.4%,353633,3097710,11.2%,0.2%
Sex,Female,16.5%,251272,1523914,16.3%,0.2%
Sex,Male,6.5%,102361,1573796,6.4%,0.1%
Ethnicity,White - British,12.6%,193116,1530683,12.4%,0.2%
Ethnicity,White - Irish,12.2%,1960,16016,12.1%,0.1%
Ethnicity,White - Any other White background,6.6%,12565,191170,6.5%,0.1%
Ethnicity,Mixed - White and Black Caribbean,9.5%,728,7637,9.4%,0.1%
Ethnicity,Mixed - White and Black African,11.7%,959,8211,11.5%,0.2%
Ethnicity,Mixed - White and Asian,13.6%,826,6062,13.5%,0.1%
Ethnicity,Mixed - Any other mixed background,9.6%,1162,12089,9.5%,0.1%
Ethnicity,Asian or Asian British - Indian,15.3%,9191,60228,15.1%,0.2%
Ethnicity,Asian or Asian British - Pakistani,8.3%,3360,40495,8.2%,0.1%
Ethnicity,Asian or Asian British - Bangladeshi,7.7%,980,12768,7.6%,0.1%
Ethnicity,Asian or Asian British - Any other Asian background,15.3%,6783,44282,15.2%,0.2%
Ethnicity,Black or Black British - Caribbean,7.0%,1750,25137,6.9%,0.1%
Ethnicity,Black or Black British - African,10.1%,5817,57351,10.0%,0.1%
Ethnicity,Black or Black British - Any other Black background,8.6%,1120,13062,8.5%,0.1%
Ethnicity,Other ethnic groups - Chinese,6.6%,994,15099,6.4%,0.2%
Ethnicity,Other ethnic groups - Any other ethnic group,8.0%,2744,34447,7.8%,0.1%
Ethnicity,Patients with any other ethnicity code,11.7%,47103,402248,11.6%,0.2%
Ethnicity,Ethnicity not given - patient refused,,0,0,,
Ethnicity,Ethnicity not stated,9.5%,2324,24542,9.3%,0.1%
Ethnicity,Ethnicity not recorded,10.1%,60025,596092,9.9%,0.2%
Ethnicity (broad categories),White,11.9%,207655,1737883,11.8%,0.2%
Ethnicity (broad categories),Mixed,10.8%,3689,34013,10.7%,0.1%
Ethnicity (broad categories),South Asian,12.9%,20328,157794,12.7%,0.1%
Ethnicity (broad categories),Black,9.1%,8715,95564,9.0%,0.1%
Ethnicity (broad categories),Other,7.5%,3738,49560,7.4%,0.1%
Ethnicity (broad categories),Unknown,10.7%,109466,1022882,10.6%,0.2%
Index of Multiple Deprivation,1 (most deprived),10.5%,55804,532714,10.3%,0.2%
Index of Multiple Deprivation,2,11.1%,65646,590282,11.0%,0.1%
Index of Multiple Deprivation,3,11.7%,73696,627935,11.6%,0.2%
Index of Multiple Deprivation,4,11.9%,76475,644189,11.7%,0.2%
Index of Multiple Deprivation,5 (least deprived),11.7%,78876,676893,11.5%,0.2%
Index of Multiple Deprivation,Unknown,12.1%,3115,25676,12.1%,0.0%
Other Groups,Patients with Morbid Obesity,28.0%,26257,93856,27.9%,0.1%
Other Groups,Patients who are pregnant,11.8%,63,532,11.8%,0.0%
