,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,13.4%,374080,2790221,13.2%,0.2%
Sex,Female,18.5%,258958,1402842,18.3%,0.2%
Sex,Male,8.3%,115122,1387379,8.1%,0.2%
Ethnicity,White - British,14.6%,214774,1473290,14.4%,0.2%
Ethnicity,White - Irish,15.0%,2205,14707,14.9%,0.1%
Ethnicity,White - Any other White background,8.6%,11221,130347,8.5%,0.2%
Ethnicity,Mixed - White and Black Caribbean,11.2%,791,7077,11.0%,0.2%
Ethnicity,Mixed - White and Black African,12.6%,693,5495,12.6%,0.0%
Ethnicity,Mixed - White and Asian,14.4%,595,4144,14.4%,0.0%
Ethnicity,Mixed - Any other mixed background,11.2%,980,8729,11.0%,0.2%
Ethnicity,Asian or Asian British - Indian,17.5%,7392,42231,17.3%,0.2%
Ethnicity,Asian or Asian British - Pakistani,10.0%,1988,19908,10.0%,0.0%
Ethnicity,Asian or Asian British - Bangladeshi,9.3%,532,5719,9.3%,0.0%
Ethnicity,Asian or Asian British - Any other Asian background,14.7%,4228,28784,14.5%,0.2%
Ethnicity,Black or Black British - Caribbean,8.3%,2198,26397,8.2%,0.1%
Ethnicity,Black or Black British - African,11.6%,4284,36869,11.4%,0.2%
Ethnicity,Black or Black British - Any other Black background,9.7%,1120,11592,9.5%,0.2%
Ethnicity,Other ethnic groups - Chinese,7.9%,959,12173,7.7%,0.2%
Ethnicity,Other ethnic groups - Any other ethnic group,9.7%,2212,22848,9.6%,0.1%
Ethnicity,Patients with any other ethnicity code,13.7%,50036,364028,13.5%,0.2%
Ethnicity,Ethnicity not stated,11.3%,2436,21525,11.2%,0.2%
Ethnicity,Ethnicity not recorded,11.8%,65324,554253,11.6%,0.2%
Ethnicity (broad categories),White,14.1%,228214,1618358,13.9%,0.2%
Ethnicity (broad categories),Mixed,12.1%,3094,25473,12.0%,0.2%
Ethnicity (broad categories),South Asian,14.7%,14168,96656,14.5%,0.2%
Ethnicity (broad categories),Black,10.2%,7609,74872,10.0%,0.1%
Ethnicity (broad categories),Other,9.1%,3178,35035,9.0%,0.1%
Ethnicity (broad categories),Unknown,12.5%,117803,939820,12.3%,0.2%
Index of Multiple Deprivation,1 (most deprived),12.3%,53970,440048,12.1%,0.2%
Index of Multiple Deprivation,2,13.0%,66325,511686,12.8%,0.2%
Index of Multiple Deprivation,3,13.7%,79261,577745,13.5%,0.2%
Index of Multiple Deprivation,4,14.0%,84721,603960,13.8%,0.2%
Index of Multiple Deprivation,5 (least deprived),13.7%,86625,633563,13.5%,0.2%
Index of Multiple Deprivation,Unknown,13.7%,3171,23205,13.5%,0.1%
Other Groups,Patients with Morbid Obesity,30.7%,24724,80479,30.6%,0.2%
Other Groups,Patients who are pregnant,15.0%,42,280,12.5%,2.5%
