,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,55.3%,2593864,4690203,54.3%,1.0%
Sex,Female,54.7%,1379987,2523549,53.6%,1.1%
Sex,Male,56.0%,1213877,2166654,55.1%,0.9%
Ethnicity,White - British,58.7%,1503110,2561699,58.0%,0.6%
Ethnicity,White - Irish,52.1%,14644,28098,51.5%,0.6%
Ethnicity,White - Any other White background,42.3%,61831,146111,41.0%,1.3%
Ethnicity,Mixed - White and Black Caribbean,37.2%,4403,11830,35.6%,1.7%
Ethnicity,Mixed - White and Black African,38.0%,4627,12180,35.3%,2.7%
Ethnicity,Mixed - White and Asian,45.4%,3465,7637,43.3%,2.1%
Ethnicity,Mixed - Any other mixed background,40.6%,6279,15470,38.8%,1.8%
Ethnicity,Asian or Asian British - Indian,48.6%,59290,121926,46.5%,2.2%
Ethnicity,Asian or Asian British - Pakistani,42.5%,41615,97874,38.6%,3.9%
Ethnicity,Asian or Asian British - Bangladeshi,51.6%,25641,49658,46.9%,4.7%
Ethnicity,Asian or Asian British - Any other Asian background,44.6%,28735,64484,42.2%,2.3%
Ethnicity,Black or Black British - Caribbean,34.8%,14917,42903,32.8%,2.0%
Ethnicity,Black or Black British - African,36.1%,37541,103908,33.2%,3.0%
Ethnicity,Black or Black British - Any other Black background,34.2%,6454,18858,31.8%,2.4%
Ethnicity,Other ethnic groups - Chinese,45.5%,6356,13958,43.9%,1.6%
Ethnicity,Other ethnic groups - Any other ethnic group,40.6%,15911,39158,38.4%,2.3%
Ethnicity,Patients with any other ethnicity code,56.2%,349580,621894,55.3%,0.9%
Ethnicity,Ethnicity not stated,55.8%,15911,28518,54.8%,1.0%
Ethnicity,Ethnicity not recorded,55.9%,393428,703941,55.0%,0.9%
Ethnicity (broad categories),White,57.7%,1579599,2735929,57.1%,0.7%
Ethnicity (broad categories),Mixed,39.9%,18802,47131,37.8%,2.1%
Ethnicity (broad categories),South Asian,46.5%,155309,333956,43.4%,3.1%
Ethnicity (broad categories),Black,35.6%,58926,165683,32.9%,2.6%
Ethnicity (broad categories),Other,41.9%,22281,53116,39.9%,2.1%
Ethnicity (broad categories),Unknown,56.0%,758926,1354360,55.1%,0.9%
Index of Multiple Deprivation,1 (most deprived),50.4%,499079,989849,48.6%,1.9%
Index of Multiple Deprivation,2,52.9%,500878,945966,51.6%,1.3%
Index of Multiple Deprivation,3,56.4%,526085,933114,55.6%,0.8%
Index of Multiple Deprivation,4,58.0%,523096,902132,57.4%,0.6%
Index of Multiple Deprivation,5 (least deprived),59.4%,521038,876498,59.0%,0.4%
Index of Multiple Deprivation,Unknown,55.5%,23653,42623,54.4%,1.1%
Clinical Risk Groups,Patients in Any Clinical Risk Group,54.4%,1635508,3009034,53.0%,1.3%
Clinical Risk Groups,Patients with Immunosuppression,54.1%,234822,434063,53.3%,0.8%
Clinical Risk Groups,Patients with CKD,57.6%,236873,411054,57.0%,0.6%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,57.8%,340627,588854,57.2%,0.7%
Clinical Risk Groups,Patients with Diabetes,51.2%,700322,1367464,49.0%,2.2%
Clinical Risk Groups,Patients with Chronic Liver disease,54.8%,116109,211890,53.4%,1.4%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),57.8%,238672,412881,56.9%,0.9%
Clinical Risk Groups,Patients with Chronic heart disease,58.3%,545930,936236,57.7%,0.7%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,51.3%,42504,82887,50.6%,0.7%
Clinical Risk Groups,Patients with Wider Learning Disability,54.0%,30373,56259,51.9%,2.0%
Clinical Risk Groups,Patients with Severe Mental Health,51.9%,40579,78183,49.7%,2.2%
Other Groups,Patients who are shielding (High Risk from COVID-19),50.7%,1158122,2282994,48.9%,1.8%
Other Groups,Patients with Morbid Obesity,53.0%,176820,333921,51.0%,1.9%
Other Groups,Patients who are pregnant,22.5%,6433,28588,19.7%,2.8%
