,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,94.7%,1865920,1970227,94.5%,0.2%
Sex,Female,94.7%,994252,1049650,94.5%,0.2%
Sex,Male,94.7%,871668,920577,94.5%,0.2%
Ethnicity,White - British,96.6%,1167614,1208536,96.5%,0.1%
Ethnicity,White - Irish,92.5%,15456,16702,92.3%,0.2%
Ethnicity,White - Any other White background,82.7%,35707,43169,82.5%,0.2%
Ethnicity,Mixed - White and Black Caribbean,76.3%,1645,2156,75.3%,1.0%
Ethnicity,Mixed - White and Black African,71.6%,812,1134,70.4%,1.2%
Ethnicity,Mixed - White and Asian,86.1%,1127,1309,86.1%,0.0%
Ethnicity,Mixed - Any other mixed background,81.8%,1855,2268,81.5%,0.3%
Ethnicity,Asian or Asian British - Indian,89.2%,22792,25550,88.9%,0.3%
Ethnicity,Asian or Asian British - Pakistani,77.3%,8183,10591,76.2%,1.1%
Ethnicity,Asian or Asian British - Bangladeshi,83.7%,2443,2919,82.5%,1.2%
Ethnicity,Asian or Asian British - Any other Asian background,83.6%,9562,11431,83.3%,0.4%
Ethnicity,Black or Black British - Caribbean,72.0%,8232,11431,71.1%,0.9%
Ethnicity,Black or Black British - African,61.8%,4977,8050,61.1%,0.7%
Ethnicity,Black or Black British - Any other Black background,70.9%,1246,1757,69.7%,1.2%
Ethnicity,Other ethnic groups - Chinese,76.7%,2436,3178,76.2%,0.4%
Ethnicity,Other ethnic groups - Any other ethnic group,77.9%,4970,6384,77.3%,0.5%
Ethnicity,Patients with any other ethnicity code,95.3%,263718,276745,95.1%,0.2%
Ethnicity,Ethnicity not stated,91.2%,10696,11725,91.0%,0.2%
Ethnicity,Ethnicity not recorded,93.0%,302351,325080,92.8%,0.2%
Ethnicity (broad categories),White,96.1%,1218798,1268428,95.9%,0.1%
Ethnicity (broad categories),Mixed,79.2%,5453,6888,78.7%,0.5%
Ethnicity (broad categories),South Asian,85.1%,42994,50505,84.6%,0.5%
Ethnicity (broad categories),Black,68.1%,14462,21252,67.2%,0.8%
Ethnicity (broad categories),Other,77.6%,7420,9562,77.0%,0.6%
Ethnicity (broad categories),Unknown,94.0%,576779,613564,93.8%,0.2%
Index of Multiple Deprivation,1 (most deprived),91.2%,236964,259721,90.9%,0.3%
Index of Multiple Deprivation,2,93.0%,309295,332647,92.8%,0.2%
Index of Multiple Deprivation,3,95.0%,398300,419461,94.8%,0.2%
Index of Multiple Deprivation,4,95.8%,440587,459676,95.7%,0.1%
Index of Multiple Deprivation,5 (least deprived),96.5%,466347,483399,96.4%,0.1%
Index of Multiple Deprivation,Unknown,94.2%,14406,15288,94.0%,0.3%
Clinical Risk Groups,Patients in Any Clinical Risk Group,95.6%,1109108,1159865,95.4%,0.2%
Clinical Risk Groups,Patients with Immunosuppression,96.5%,82754,85722,96.4%,0.2%
Clinical Risk Groups,Patients with CKD,96.0%,309988,322896,95.8%,0.2%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,95.9%,214949,224133,95.7%,0.2%
Clinical Risk Groups,Patients with Diabetes,94.8%,348194,367192,94.6%,0.2%
Clinical Risk Groups,Patients with Chronic Liver disease,95.4%,49784,52164,95.2%,0.2%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),95.5%,203217,212800,95.3%,0.2%
Clinical Risk Groups,Patients with Chronic heart disease,96.0%,567567,591045,95.8%,0.2%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,96.7%,16576,17143,96.5%,0.2%
Clinical Risk Groups,Patients with Wider Learning Disability,90.7%,2114,2331,89.5%,1.2%
Clinical Risk Groups,Patients with Severe Mental Health,88.8%,14021,15792,88.3%,0.5%
Other Groups,Patients who are shielding (High Risk from COVID-19),94.6%,291137,307671,94.4%,0.2%
Other Groups,Patients with Morbid Obesity,94.2%,44996,47768,93.9%,0.2%
Other Groups,Patients who are pregnant,96.9%,217,224,96.9%,0.0%
