,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,89.4%,2210096,2472862,87.6%,1.7%
Sex,Female,90.1%,1136632,1261582,88.4%,1.7%
Sex,Male,88.6%,1073464,1211280,86.8%,1.8%
Ethnicity,White - British,93.2%,1350650,1448937,91.6%,1.7%
Ethnicity,White - Irish,87.1%,13601,15624,85.7%,1.4%
Ethnicity,White - Any other White background,66.4%,52612,79226,64.8%,1.6%
Ethnicity,Mixed - White and Black Caribbean,65.4%,2079,3178,63.2%,2.2%
Ethnicity,Mixed - White and Black African,65.9%,1694,2569,64.3%,1.6%
Ethnicity,Mixed - White and Asian,82.7%,2114,2555,80.8%,1.9%
Ethnicity,Mixed - Any other mixed background,74.8%,3703,4949,73.0%,1.8%
Ethnicity,Asian or Asian British - Indian,87.0%,43806,50323,85.9%,1.2%
Ethnicity,Asian or Asian British - Pakistani,71.5%,17878,25004,69.0%,2.5%
Ethnicity,Asian or Asian British - Bangladeshi,82.4%,5103,6195,79.5%,2.8%
Ethnicity,Asian or Asian British - Any other Asian background,81.0%,18193,22463,79.5%,1.5%
Ethnicity,Black or Black British - Caribbean,57.7%,8638,14959,55.3%,2.4%
Ethnicity,Black or Black British - African,61.2%,9338,15267,58.6%,2.6%
Ethnicity,Black or Black British - Any other Black background,63.9%,2331,3647,61.8%,2.1%
Ethnicity,Other ethnic groups - Chinese,71.1%,6685,9408,69.3%,1.7%
Ethnicity,Other ethnic groups - Any other ethnic group,67.8%,8995,13258,66.1%,1.8%
Ethnicity,Patients with any other ethnicity code,90.3%,295848,327453,88.5%,1.9%
Ethnicity,Ethnicity not stated,84.1%,12684,15085,82.0%,2.0%
Ethnicity,Ethnicity not recorded,85.8%,354046,412664,83.9%,1.9%
Ethnicity (broad categories),White,91.8%,1416870,1543801,90.1%,1.6%
Ethnicity (broad categories),Mixed,72.5%,9611,13258,70.5%,2.0%
Ethnicity (broad categories),South Asian,81.7%,84994,103999,80.1%,1.7%
Ethnicity (broad categories),Black,60.0%,20321,33887,57.5%,2.4%
Ethnicity (broad categories),Other,69.2%,15687,22666,67.5%,1.7%
Ethnicity (broad categories),Unknown,87.7%,662599,755216,85.8%,1.9%
Index of Multiple Deprivation,1 (most deprived),82.8%,305088,368403,80.2%,2.6%
Index of Multiple Deprivation,2,86.5%,382613,442505,84.4%,2.1%
Index of Multiple Deprivation,3,90.0%,472045,524734,88.2%,1.7%
Index of Multiple Deprivation,4,91.8%,506275,551642,90.4%,1.4%
Index of Multiple Deprivation,5 (least deprived),93.1%,524790,563983,91.8%,1.2%
Index of Multiple Deprivation,Unknown,89.4%,19278,21560,87.5%,1.9%
Clinical Risk Groups,Patients in Any Clinical Risk Group,91.1%,825013,905709,89.4%,1.7%
Clinical Risk Groups,Patients with Immunosuppression,92.9%,35007,37674,91.4%,1.5%
Clinical Risk Groups,Patients with CKD,92.1%,107520,116683,90.5%,1.6%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,91.0%,87878,96572,89.2%,1.8%
Clinical Risk Groups,Patients with Diabetes,90.7%,295288,325458,89.0%,1.7%
Clinical Risk Groups,Patients with Chronic Liver disease,90.4%,66493,73591,88.6%,1.8%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),91.0%,123060,135163,89.2%,1.9%
Clinical Risk Groups,Patients with Chronic heart disease,91.9%,345030,375452,90.2%,1.7%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,93.6%,13258,14168,92.3%,1.2%
Clinical Risk Groups,Patients with Wider Learning Disability,84.6%,4914,5810,79.9%,4.7%
Clinical Risk Groups,Patients with Severe Mental Health,79.8%,18949,23758,76.9%,2.9%
Other Groups,Patients with Morbid Obesity,90.6%,70749,78113,88.5%,2.1%
Other Groups,Patients who are pregnant,91.7%,231,252,88.9%,2.8%
