,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,94.7%,1865661,1970192,94.6%,0.1%
Sex,Female,94.7%,994154,1049629,94.6%,0.1%
Sex,Male,94.7%,871507,920563,94.5%,0.1%
Ethnicity,White - British,96.7%,1168062,1208025,96.6%,0.1%
Ethnicity,White - Irish,92.7%,15470,16688,92.5%,0.2%
Ethnicity,White - Any other White background,82.9%,35728,43120,82.7%,0.2%
Ethnicity,Mixed - White and Black Caribbean,76.3%,1645,2156,75.6%,0.6%
Ethnicity,Mixed - White and Black African,71.8%,819,1141,71.2%,0.6%
Ethnicity,Mixed - White and Asian,86.0%,1120,1302,86.0%,0.0%
Ethnicity,Mixed - Any other mixed background,82.4%,1869,2268,81.8%,0.6%
Ethnicity,Asian or Asian British - Indian,89.4%,22834,25543,89.1%,0.3%
Ethnicity,Asian or Asian British - Pakistani,77.6%,8218,10584,76.8%,0.9%
Ethnicity,Asian or Asian British - Bangladeshi,84.4%,2457,2912,83.7%,0.7%
Ethnicity,Asian or Asian British - Any other Asian background,83.8%,9590,11438,83.5%,0.3%
Ethnicity,Black or Black British - Caribbean,72.4%,8267,11424,71.6%,0.7%
Ethnicity,Black or Black British - African,62.5%,5019,8036,61.7%,0.8%
Ethnicity,Black or Black British - Any other Black background,71.2%,1246,1750,70.4%,0.8%
Ethnicity,Other ethnic groups - Chinese,76.9%,2443,3178,76.4%,0.4%
Ethnicity,Other ethnic groups - Any other ethnic group,78.2%,4984,6377,77.7%,0.4%
Ethnicity,Patients with any other ethnicity code,95.4%,263494,276339,95.2%,0.1%
Ethnicity,Ethnicity not stated,91.3%,10696,11718,91.2%,0.1%
Ethnicity,Ethnicity not recorded,92.5%,301609,326088,92.4%,0.1%
Ethnicity (broad categories),White,96.2%,1219281,1267847,96.1%,0.1%
Ethnicity (broad categories),Mixed,79.3%,5460,6888,78.9%,0.4%
Ethnicity (broad categories),South Asian,85.4%,43120,50498,85.0%,0.4%
Ethnicity (broad categories),Black,68.4%,14532,21231,67.7%,0.7%
Ethnicity (broad categories),Other,77.8%,7434,9555,77.3%,0.5%
Ethnicity (broad categories),Unknown,93.8%,575813,614152,93.6%,0.1%
Index of Multiple Deprivation,1 (most deprived),91.2%,236852,259721,90.9%,0.3%
Index of Multiple Deprivation,2,93.0%,309225,332640,92.8%,0.2%
Index of Multiple Deprivation,3,95.0%,398328,419454,94.9%,0.1%
Index of Multiple Deprivation,4,95.8%,440517,459669,95.7%,0.1%
Index of Multiple Deprivation,5 (least deprived),96.5%,466305,483392,96.4%,0.1%
Index of Multiple Deprivation,Unknown,94.2%,14406,15288,94.1%,0.1%
Clinical Risk Groups,Patients in Any Clinical Risk Group,95.7%,1109731,1159410,95.6%,0.1%
Clinical Risk Groups,Patients with Immunosuppression,96.6%,82845,85743,96.5%,0.1%
Clinical Risk Groups,Patients with CKD,96.1%,310681,323316,96.0%,0.1%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,96.0%,215222,224168,95.8%,0.2%
Clinical Risk Groups,Patients with Diabetes,94.9%,348418,367003,94.8%,0.2%
Clinical Risk Groups,Patients with Chronic Liver disease,95.6%,49861,52178,95.4%,0.1%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),95.6%,203476,212828,95.4%,0.2%
Clinical Risk Groups,Patients with Chronic heart disease,96.1%,567945,590891,96.0%,0.1%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,96.8%,16569,17122,96.7%,0.0%
Clinical Risk Groups,Patients with Wider Learning Disability,91.0%,2114,2324,90.1%,0.9%
Clinical Risk Groups,Patients with Severe Mental Health,89.1%,14035,15750,88.6%,0.5%
Other Groups,Patients who are shielding (High Risk from COVID-19),94.7%,291039,307188,94.5%,0.2%
Other Groups,Patients with Morbid Obesity,94.3%,44996,47698,94.1%,0.2%
Other Groups,Patients who are pregnant,96.9%,217,224,96.9%,0.0%
