,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,2.6%,50281,1970192,1.4%,1.1%
Sex,Female,2.6%,27356,1049629,1.5%,1.1%
Sex,Male,2.5%,22925,920563,1.4%,1.1%
Ethnicity,White - British,2.6%,31731,1208025,1.4%,1.2%
Ethnicity,White - Irish,4.3%,721,16688,2.7%,1.6%
Ethnicity,White - Any other White background,3.5%,1498,43120,2.2%,1.3%
Ethnicity,Mixed - White and Black Caribbean,1.9%,42,2156,1.0%,1.0%
Ethnicity,Mixed - White and Black African,0.6%,7,1141,0.0%,0.6%
Ethnicity,Mixed - White and Asian,3.8%,49,1302,2.2%,1.6%
Ethnicity,Mixed - Any other mixed background,3.4%,77,2268,1.9%,1.5%
Ethnicity,Asian or Asian British - Indian,5.3%,1351,25543,3.8%,1.5%
Ethnicity,Asian or Asian British - Pakistani,3.9%,413,10584,2.5%,1.4%
Ethnicity,Asian or Asian British - Bangladeshi,3.1%,91,2912,2.4%,0.7%
Ethnicity,Asian or Asian British - Any other Asian background,4.2%,476,11438,2.7%,1.5%
Ethnicity,Black or Black British - Caribbean,2.3%,259,11424,1.3%,0.9%
Ethnicity,Black or Black British - African,1.9%,154,8036,1.3%,0.6%
Ethnicity,Black or Black British - Any other Black background,2.0%,35,1750,1.2%,0.8%
Ethnicity,Other ethnic groups - Chinese,2.9%,91,3178,2.0%,0.9%
Ethnicity,Other ethnic groups - Any other ethnic group,3.5%,224,6377,2.3%,1.2%
Ethnicity,Patients with any other ethnicity code,2.3%,6454,276339,1.4%,1.0%
Ethnicity,Ethnicity not stated,2.0%,231,11718,1.4%,0.6%
Ethnicity,Ethnicity not recorded,1.9%,6272,326088,1.1%,0.8%
Ethnicity (broad categories),White,2.7%,33964,1267847,1.4%,1.2%
Ethnicity (broad categories),Mixed,2.8%,196,6888,1.6%,1.2%
Ethnicity (broad categories),South Asian,4.7%,2352,50498,3.2%,1.4%
Ethnicity (broad categories),Black,2.2%,462,21231,1.4%,0.8%
Ethnicity (broad categories),Other,3.3%,315,9555,2.3%,1.0%
Ethnicity (broad categories),Unknown,2.1%,12964,614152,1.2%,0.9%
Index of Multiple Deprivation,1 (most deprived),3.5%,9128,259721,2.0%,1.5%
Index of Multiple Deprivation,2,2.7%,8960,332640,1.5%,1.2%
Index of Multiple Deprivation,3,2.5%,10626,419454,1.4%,1.2%
Index of Multiple Deprivation,4,2.4%,10962,459669,1.3%,1.1%
Index of Multiple Deprivation,5 (least deprived),2.1%,10318,483392,1.2%,0.9%
Index of Multiple Deprivation,Unknown,1.7%,266,15288,1.4%,0.4%
Clinical Risk Groups,Patients in Any Clinical Risk Group,2.7%,31241,1159410,1.5%,1.2%
Clinical Risk Groups,Patients with Immunosuppression,3.2%,2709,85743,1.8%,1.3%
Clinical Risk Groups,Patients with CKD,2.7%,8820,323316,1.5%,1.2%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,2.9%,6440,224168,1.6%,1.3%
Clinical Risk Groups,Patients with Diabetes,2.8%,10150,367003,1.6%,1.2%
Clinical Risk Groups,Patients with Chronic Liver disease,2.8%,1470,52178,1.6%,1.2%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),2.6%,5600,212828,1.5%,1.2%
Clinical Risk Groups,Patients with Chronic heart disease,2.7%,16163,590891,1.5%,1.2%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,2.8%,483,17122,1.6%,1.2%
Clinical Risk Groups,Patients with Wider Learning Disability,1.5%,35,2324,0.6%,0.9%
Clinical Risk Groups,Patients with Severe Mental Health,2.3%,364,15750,1.3%,1.0%
Other Groups,Patients who are shielding (High Risk from COVID-19),3.2%,9821,307188,1.8%,1.4%
Other Groups,Patients with Morbid Obesity,2.4%,1148,47698,1.3%,1.1%
Other Groups,Patients who are pregnant,3.1%,7,224,0.0%,3.1%
