,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,62.4%,1335775,2139536,54.7%,7.7%
Sex,Female,61.6%,683193,1109066,54.5%,7.1%
Sex,Male,63.3%,652582,1030470,54.9%,8.4%
Ethnicity,White - British,67.3%,790559,1173970,59.2%,8.2%
Ethnicity,White - Irish,58.6%,6615,11291,52.9%,5.6%
Ethnicity,White - Any other White background,42.1%,37415,88907,36.7%,5.4%
Ethnicity,Mixed - White and Black Caribbean,43.0%,1722,4004,36.9%,6.1%
Ethnicity,Mixed - White and Black African,41.0%,1330,3241,34.6%,6.5%
Ethnicity,Mixed - White and Asian,53.5%,1344,2513,47.1%,6.4%
Ethnicity,Mixed - Any other mixed background,49.4%,2660,5383,42.7%,6.8%
Ethnicity,Asian or Asian British - Indian,55.1%,18480,33516,50.4%,4.7%
Ethnicity,Asian or Asian British - Pakistani,44.7%,6286,14049,38.5%,6.2%
Ethnicity,Asian or Asian British - Bangladeshi,53.9%,1820,3374,44.4%,9.5%
Ethnicity,Asian or Asian British - Any other Asian background,50.4%,9534,18907,44.5%,5.9%
Ethnicity,Black or Black British - Caribbean,35.3%,6041,17129,29.4%,5.8%
Ethnicity,Black or Black British - African,38.4%,8078,21042,32.0%,6.4%
Ethnicity,Black or Black British - Any other Black background,38.8%,2170,5586,32.5%,6.4%
Ethnicity,Other ethnic groups - Chinese,51.0%,4634,9086,42.4%,8.6%
Ethnicity,Other ethnic groups - Any other ethnic group,41.9%,6034,14406,36.2%,5.6%
Ethnicity,Patients with any other ethnicity code,62.6%,174734,279230,54.8%,7.8%
Ethnicity,Ethnicity not stated,59.8%,9121,15260,51.5%,8.3%
Ethnicity,Ethnicity not recorded,59.0%,247093,418537,51.3%,7.7%
Ethnicity (broad categories),White,65.5%,834596,1274175,57.6%,7.9%
Ethnicity (broad categories),Mixed,46.6%,7070,15162,40.2%,6.4%
Ethnicity (broad categories),South Asian,51.7%,36134,69874,46.2%,5.6%
Ethnicity (broad categories),Black,37.3%,16310,43764,31.1%,6.2%
Ethnicity (broad categories),Other,45.4%,10668,23492,38.6%,6.8%
Ethnicity (broad categories),Unknown,60.4%,430969,713048,52.7%,7.7%
Index of Multiple Deprivation,1 (most deprived),53.1%,166894,314139,44.3%,8.8%
Index of Multiple Deprivation,2,58.1%,221270,380744,50.0%,8.1%
Index of Multiple Deprivation,3,62.7%,281722,449197,55.0%,7.8%
Index of Multiple Deprivation,4,65.7%,314272,478303,58.3%,7.4%
Index of Multiple Deprivation,5 (least deprived),68.3%,340368,498477,61.1%,7.2%
Index of Multiple Deprivation,Unknown,60.2%,11235,18662,55.4%,4.8%
Other Groups,Patients with Morbid Obesity,51.8%,28406,54817,47.7%,4.2%
Other Groups,Patients who are pregnant,60.7%,119,196,57.1%,3.6%
