,,Vaccinated at 2021-03-20 (%),Vaccinated at 2021-03-20 (n),Population,Vaccinated at 2021-03-13 (%),Vaccinated in past week (%)
Overall,-,94.6%,2421468,2558794,94.5%,0.1%
Sex,Female,94.5%,1400007,1481886,94.3%,0.2%
Sex,Male,94.9%,1021461,1076908,94.7%,0.1%
Ethnicity,White - British,96.7%,1391733,1438598,96.6%,0.1%
Ethnicity,White - Irish,93.7%,19579,20895,93.5%,0.2%
Ethnicity,White - Any other White background,86.6%,47544,54922,86.4%,0.2%
Ethnicity,Mixed - White and Black Caribbean,75.2%,2786,3703,74.7%,0.6%
Ethnicity,Mixed - White and Black African,68.9%,805,1169,67.7%,1.2%
Ethnicity,Mixed - White and Asian,86.2%,1134,1316,86.2%,0.0%
Ethnicity,Mixed - Any other mixed background,81.8%,1918,2345,81.8%,0.0%
Ethnicity,Asian or Asian British - Indian,90.0%,29463,32725,89.9%,0.2%
Ethnicity,Asian or Asian British - Pakistani,77.2%,12908,16716,76.5%,0.7%
Ethnicity,Asian or Asian British - Bangladeshi,81.6%,3983,4879,81.1%,0.6%
Ethnicity,Asian or Asian British - Any other Asian background,82.5%,9555,11585,82.3%,0.2%
Ethnicity,Black or Black British - Caribbean,71.8%,16765,23359,71.1%,0.7%
Ethnicity,Black or Black British - African,60.3%,5201,8624,59.4%,0.9%
Ethnicity,Black or Black British - Any other Black background,70.0%,1750,2499,69.2%,0.8%
Ethnicity,Other ethnic groups - Chinese,78.3%,3206,4095,78.1%,0.2%
Ethnicity,Other ethnic groups - Any other ethnic group,78.6%,5369,6832,78.1%,0.5%
Ethnicity,Patients with any other ethnicity code,95.5%,377244,395017,95.4%,0.1%
Ethnicity,Ethnicity not stated,93.0%,15344,16492,92.9%,0.1%
Ethnicity,Ethnicity not recorded,92.6%,475062,512925,92.5%,0.1%
Ethnicity (broad categories),White,96.3%,1458870,1514422,96.2%,0.1%
Ethnicity (broad categories),Mixed,77.9%,6664,8554,77.5%,0.4%
Ethnicity (broad categories),South Asian,84.8%,55930,65919,84.5%,0.4%
Ethnicity (broad categories),Black,68.8%,23723,34482,68.0%,0.8%
Ethnicity (broad categories),Other,78.6%,8589,10934,78.2%,0.4%
Ethnicity (broad categories),Unknown,93.9%,867664,924455,93.7%,0.1%
Index of Multiple Deprivation,1 (most deprived),90.6%,308875,340886,90.4%,0.2%
Index of Multiple Deprivation,2,92.8%,402598,433615,92.7%,0.2%
Index of Multiple Deprivation,3,95.0%,514647,541702,94.9%,0.1%
Index of Multiple Deprivation,4,95.8%,564102,588532,95.7%,0.1%
Index of Multiple Deprivation,5 (least deprived),96.6%,612605,634333,96.5%,0.1%
Index of Multiple Deprivation,Unknown,94.5%,18613,19691,94.5%,0.1%
Clinical Risk Groups,Patients in Any Clinical Risk Group,95.8%,1766933,1845228,95.6%,0.1%
Clinical Risk Groups,Patients with Immunosuppression,96.6%,107233,110964,96.5%,0.1%
Clinical Risk Groups,Patients with CKD,96.0%,751926,783069,95.9%,0.1%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,96.1%,294630,306740,95.9%,0.1%
Clinical Risk Groups,Patients with Diabetes,94.9%,493080,519372,94.8%,0.2%
Clinical Risk Groups,Patients with Chronic Liver disease,95.5%,44660,46753,95.4%,0.2%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),95.5%,409262,428449,95.4%,0.2%
Clinical Risk Groups,Patients with Chronic heart disease,96.2%,1042293,1083929,96.0%,0.1%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,96.8%,19943,20601,96.8%,0.0%
Clinical Risk Groups,Patients with Wider Learning Disability,91.9%,1197,1302,90.9%,1.1%
Clinical Risk Groups,Patients with Severe Mental Health,89.7%,15610,17395,89.4%,0.4%
Other Groups,Patients who are shielding (High Risk from COVID-19),93.7%,706167,753354,93.5%,0.2%
Other Groups,Patients with Morbid Obesity,93.9%,32837,34972,93.7%,0.2%
Other Groups,Patients who are pregnant,97.8%,308,315,97.8%,0.0%
