,,Vaccinated at 2021-03-17 (%),Vaccinated at 2021-03-17 (n),Population,Vaccinated at 2021-03-10 (%),Vaccinated in past week (%)
Overall,-,94.7%,2422476,2558906,94.5%,0.2%
Sex,Female,94.5%,1400532,1481970,94.3%,0.2%
Sex,Male,94.9%,1021944,1076936,94.8%,0.1%
Ethnicity,White - British,96.7%,1391404,1439613,96.5%,0.1%
Ethnicity,White - Irish,93.6%,19579,20923,93.4%,0.2%
Ethnicity,White - Any other White background,86.5%,47551,54992,86.3%,0.2%
Ethnicity,Mixed - White and Black Caribbean,75.0%,2779,3703,74.5%,0.6%
Ethnicity,Mixed - White and Black African,68.3%,798,1169,67.1%,1.2%
Ethnicity,Mixed - White and Asian,86.2%,1134,1316,85.6%,0.5%
Ethnicity,Mixed - Any other mixed background,81.5%,1918,2352,81.2%,0.3%
Ethnicity,Asian or Asian British - Indian,89.9%,29456,32753,89.7%,0.2%
Ethnicity,Asian or Asian British - Pakistani,76.9%,12859,16723,76.0%,0.9%
Ethnicity,Asian or Asian British - Bangladeshi,81.3%,3969,4879,80.5%,0.9%
Ethnicity,Asian or Asian British - Any other Asian background,82.3%,9548,11599,82.0%,0.4%
Ethnicity,Black or Black British - Caribbean,71.3%,16681,23387,70.6%,0.7%
Ethnicity,Black or Black British - African,59.8%,5152,8617,59.0%,0.8%
Ethnicity,Black or Black British - Any other Black background,69.8%,1750,2506,69.0%,0.8%
Ethnicity,Other ethnic groups - Chinese,78.1%,3199,4095,77.9%,0.2%
Ethnicity,Other ethnic groups - Any other ethnic group,78.3%,5348,6832,77.8%,0.5%
Ethnicity,Patients with any other ethnicity code,95.4%,377566,395654,95.3%,0.2%
Ethnicity,Ethnicity not stated,92.9%,15344,16513,92.7%,0.2%
Ethnicity,Ethnicity not recorded,93.2%,476336,511182,93.0%,0.2%
Ethnicity (broad categories),White,96.2%,1458548,1515535,96.1%,0.1%
Ethnicity (broad categories),Mixed,77.7%,6650,8554,77.3%,0.5%
Ethnicity (broad categories),South Asian,84.6%,55846,65975,84.2%,0.5%
Ethnicity (broad categories),Black,68.3%,23590,34517,67.6%,0.8%
Ethnicity (broad categories),Other,78.3%,8561,10934,77.9%,0.4%
Ethnicity (broad categories),Unknown,94.1%,869260,923363,94.0%,0.2%
Index of Multiple Deprivation,1 (most deprived),90.7%,309190,340928,90.4%,0.3%
Index of Multiple Deprivation,2,92.9%,402836,433622,92.7%,0.2%
Index of Multiple Deprivation,3,95.0%,514682,541737,94.8%,0.2%
Index of Multiple Deprivation,4,95.9%,564410,588546,95.8%,0.1%
Index of Multiple Deprivation,5 (least deprived),96.6%,612731,634340,96.5%,0.1%
Index of Multiple Deprivation,Unknown,94.5%,18613,19691,94.3%,0.2%
Clinical Risk Groups,Patients in Any Clinical Risk Group,95.7%,1766590,1846677,95.5%,0.2%
Clinical Risk Groups,Patients with Immunosuppression,96.6%,107184,110999,96.4%,0.2%
Clinical Risk Groups,Patients with CKD,95.9%,750820,782705,95.8%,0.2%
Clinical Risk Groups,Patients who have Chronic Respiratory Disease,96.0%,294413,306810,95.8%,0.2%
Clinical Risk Groups,Patients with Diabetes,94.8%,492982,519862,94.6%,0.2%
Clinical Risk Groups,Patients with Chronic Liver disease,95.4%,44618,46746,95.2%,0.2%
Clinical Risk Groups,Patients with CNS Disease (including Stroke/TIA),95.4%,408730,428400,95.2%,0.2%
Clinical Risk Groups,Patients with Chronic heart disease,96.1%,1042034,1084643,95.9%,0.2%
Clinical Risk Groups,Patients with Asplenia or Dysfunction of the Spleen,96.8%,19950,20615,96.7%,0.1%
Clinical Risk Groups,Patients with Wider Learning Disability,91.4%,1190,1302,91.4%,0.0%
Clinical Risk Groups,Patients with Severe Mental Health,89.5%,15582,17409,89.1%,0.4%
Other Groups,Patients who are shielding (High Risk from COVID-19),93.6%,706629,754789,93.4%,0.2%
Other Groups,Patients with Morbid Obesity,93.8%,32837,35014,93.5%,0.3%
Other Groups,Patients who are pregnant,95.6%,301,315,95.6%,0.0%
