,True
2020-12-08,0
2020-12-09,0
2020-12-10,0
2020-12-11,0
2020-12-12,0
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-16,0
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
2020-12-31,7
2021-01-01,49
2021-01-02,77
2021-01-03,77
2021-01-04,112
2021-01-05,168
2021-01-06,245
2021-01-07,399
2021-01-08,931
2021-01-09,1540
2021-01-10,1855
2021-01-11,2653
2021-01-12,3689
2021-01-13,4711
2021-01-14,6020
2021-01-15,7756
2021-01-16,8953
2021-01-17,9450
2021-01-18,10521
2021-01-19,11606
2021-01-20,13146
2021-01-21,15414
2021-01-22,18550
2021-01-23,20671
2021-01-24,21714
2021-01-25,23303
2021-01-26,25403
2021-01-27,27181
2021-01-28,29134
2021-01-29,31507
2021-01-30,33418
2021-01-31,34461
2021-02-01,35742
2021-02-02,37247
2021-02-03,38850
2021-02-04,41083
2021-02-05,44261
2021-02-06,48160
2021-02-07,50155
2021-02-08,52227
2021-02-09,54908
2021-02-10,58408
2021-02-11,62447
2021-02-12,70504
2021-02-13,81347
2021-02-14,87234
2021-02-15,94493
2021-02-16,103558
2021-02-17,116319
2021-02-18,134694
2021-02-19,150773
2021-02-20,176533
2021-02-21,185801
2021-02-22,198093
2021-02-23,212359
2021-02-24,227269
2021-02-25,246848
2021-02-26,266833
2021-02-27,286174
2021-02-28,295477
2021-03-01,306299
2021-03-02,319683
2021-03-03,344918
2021-03-04,382011
2021-03-05,424165
2021-03-06,469805
2021-03-07,480837
2021-03-08,493794
2021-03-09,508088
2021-03-10,524678
2021-03-11,538440
2021-03-12,564613
2021-03-13,602658
2021-03-14,619416
2021-03-15,641130
2021-03-16,664881
2021-03-17,684964
total,1739773
